prediction_date,match_id,match_date,match_number,league,home,away,odds_home,odds_draw,odds_away,home_goals,away_goals,actual_result,actual_result_label,source_type,imported_at
2025-08-11,2032925,2025-08-11,周日019,葡萄牙超级联赛,法马利康,圣克拉拉,2.05,2.85,3.45,3,0,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-11,2032926,2025-08-11,周日020,挪威超级联赛,桑纳菲尤尔,维京,2.63,3.9,2.03,1,2,2,负,official_result_market_odds,2026-08-11T21:44:29
2025-08-11,2032927,2025-08-11,周日021,葡萄牙超级联赛,布拉加,通德拉,1.25,4.85,8.1,3,0,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-11,2032928,2025-08-11,周日023,美国职业大联盟,纽约红牛,皇家盐湖城,2.0,3.35,3.02,2,1,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-11,2032929,2025-08-11,周一001,日本职业联赛,大阪樱花,新潟天鹅,1.55,3.8,4.55,3,1,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-11,2032937,2025-08-11,周日022,葡萄牙超级联赛,摩雷伦斯,阿尔维卡,1.81,2.95,4.2,2,1,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-12,2032930,2025-08-12,周一002,芬兰超级联赛,赫尔辛基,坦佩雷山猫,2.28,3.6,2.42,5,1,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-12,2032931,2025-08-12,周一003,瑞典超级联赛,埃尔夫斯堡,韦纳穆,1.3,4.85,6.5,2,2,1,平,official_result_market_odds,2026-08-11T21:44:29
2025-08-12,2032932,2025-08-12,周一004,瑞典超级联赛,哥德堡盖斯,IFK哥德堡,1.78,3.38,3.68,0,1,2,负,official_result_market_odds,2026-08-11T21:44:29
2025-08-12,2032933,2025-08-12,周一005,葡萄牙超级联赛,埃斯托里尔,阿马多拉,1.58,3.5,4.75,1,1,1,平,official_result_market_odds,2026-08-11T21:44:29
2025-08-12,2032934,2025-08-12,周一007,葡萄牙超级联赛,波尔图,吉马良斯,1.39,4.08,6.1,3,0,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-12,2032938,2025-08-12,周一006,法国乙级联赛,亚眠,兰斯,5.85,3.86,1.43,2,2,1,平,official_result_market_odds,2026-08-11T21:44:29
2025-08-12,2032971,2025-08-12,周二001,亚洲冠军精英联赛,成都蓉城,曼谷联,1.38,4.45,5.55,3,0,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-13,2032957,2025-08-13,周二002,欧洲冠军联赛,费内巴切,费耶诺德,1.4,4.3,5.5,5,2,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-13,2032958,2025-08-13,周二003,欧洲冠军联赛,哥本哈根,马尔默,1.54,3.5,5.15,5,0,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-13,2032959,2025-08-13,周二004,欧洲冠军联赛,比尔森,格拉斯哥流浪者,1.74,3.83,3.4,2,1,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-13,2032960,2025-08-13,周二005,欧洲冠军联赛,布鲁日,萨尔茨堡,1.61,3.7,4.2,3,2,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-13,2032961,2025-08-13,周二006,欧洲冠军联赛,费伦茨瓦罗斯,卢多戈雷茨,1.36,4.0,6.95,3,0,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-13,2032962,2025-08-13,周二007,欧罗巴联赛,谢尔本,里耶卡,4.6,3.65,1.57,1,3,2,负,official_result_market_odds,2026-08-11T21:44:29
2025-08-13,2032963,2025-08-13,周二009,英格兰联赛杯,西布罗姆维奇,德比郡,1.79,3.2,3.88,1,1,1,平,official_result_market_odds,2026-08-11T21:44:29
2025-08-13,2032964,2025-08-13,周二010,英格兰联赛杯,沃特福德,诺维奇,2.6,3.05,2.4,1,2,2,负,official_result_market_odds,2026-08-11T21:44:29
2025-08-13,2032965,2025-08-13,周二011,欧洲冠军联赛,本菲卡,尼斯,1.39,4.26,5.7,2,0,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-13,2032972,2025-08-13,周二008,英格兰联赛杯,雷克斯汉姆,赫尔城,2.35,2.9,2.79,3,3,1,平,official_result_market_odds,2026-08-11T21:44:29
2025-08-14,2032973,2025-08-14,周三001,欧洲超级杯,巴黎圣日尔曼,托特纳姆热刺,1.34,4.4,6.4,2,2,1,平,official_result_market_odds,2026-08-11T21:44:29
2025-08-14,2032974,2025-08-14,周三002,英格兰联赛杯,伯明翰,谢菲尔德联,1.92,3.12,3.47,2,1,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-15,2032966,2025-08-15,周四001,欧罗巴联赛,中日德兰,腓特烈斯塔,1.37,4.4,5.8,2,0,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-15,2032967,2025-08-15,周四002,欧罗巴联赛,沃尔夫斯贝格,塞萨洛尼基,3.6,2.95,1.95,0,0,1,平,official_result_market_odds,2026-08-11T21:44:29
2025-08-15,2032968,2025-08-15,周四003,欧罗巴联赛,布兰,赫根,1.57,4.05,4.08,0,1,2,负,official_result_market_odds,2026-08-11T21:44:29
2025-08-15,2032969,2025-08-15,周四004,欧罗巴联赛,乌德勒支,塞尔维特,1.3,4.85,6.5,2,1,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-15,2032970,2025-08-15,周四005,欧罗巴联赛,布拉加,克卢日,1.25,4.6,9.0,2,0,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-15,2032988,2025-08-15,周五001,韩国职业联赛,济州SK,江原FC,2.22,2.95,2.95,0,0,1,平,official_result_market_odds,2026-08-11T21:44:29
2025-08-15,2032989,2025-08-15,周五002,韩国职业联赛,安养FC,浦项制铁,3.16,3.15,2.02,0,1,2,负,official_result_market_odds,2026-08-11T21:44:29
2025-08-15,2032990,2025-08-15,周五003,葡萄牙超级联赛,阿维斯SAD,卡萨皮亚,3.02,2.65,2.38,0,2,2,负,official_result_market_odds,2026-08-11T21:44:29
2025-08-16,2032991,2025-08-16,周五004,西班牙甲级联赛,赫罗纳,巴列卡诺,1.84,3.3,3.55,1,3,2,负,official_result_market_odds,2026-08-11T21:44:29
2025-08-16,2032992,2025-08-16,周五005,挪威超级联赛,斯特罗姆加斯特,博德闪耀,7.7,5.8,1.21,0,5,2,负,official_result_market_odds,2026-08-11T21:44:29
2025-08-16,2032993,2025-08-16,周五006,法国乙级联赛,克莱蒙,特鲁瓦,2.61,2.88,2.51,0,0,1,平,official_result_market_odds,2026-08-11T21:44:29
2025-08-16,2032994,2025-08-16,周五007,荷兰甲级联赛,特尔斯达,兹沃勒,2.56,3.4,2.25,0,2,2,负,official_result_market_odds,2026-08-11T21:44:29
2025-08-16,2032995,2025-08-16,周五008,荷兰乙级联赛,坎布尔,奥斯,1.22,5.4,8.0,1,0,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-16,2032996,2025-08-16,周五009,德国杯,比勒费尔德,云达不来梅,3.35,3.3,1.9,1,0,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-16,2032997,2025-08-16,周五010,法国甲级联赛,雷恩,马赛,3.55,3.5,1.78,1,0,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-16,2032998,2025-08-16,周五011,英格兰超级联赛,利物浦,伯恩茅斯,1.18,5.95,8.75,4,2,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-16,2032999,2025-08-16,周五012,西班牙甲级联赛,比利亚雷亚尔,皇家奥维耶多,1.23,4.75,9.4,2,0,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-16,2033004,2025-08-16,周六001,日本职业联赛,鹿岛鹿角,福冈黄蜂,1.82,3.12,3.85,1,1,1,平,official_result_market_odds,2026-08-11T21:44:29
2025-08-16,2033005,2025-08-16,周六002,日本乙级联赛,水户蜀葵,磐田喜悦,1.95,3.25,3.25,1,3,2,负,official_result_market_odds,2026-08-11T21:44:29
2025-08-16,2033006,2025-08-16,周六003,日本职业联赛,神户胜利船,横滨FC,1.25,4.7,8.55,0,1,2,负,official_result_market_odds,2026-08-11T21:44:29
2025-08-16,2033007,2025-08-16,周六004,日本职业联赛,浦和红钻,名古屋鲸八,1.75,3.3,3.92,2,1,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-16,2033008,2025-08-16,周六005,韩国职业联赛,全北现代,大邱FC,1.28,4.85,7.05,3,0,0,胜,official_result_market_odds,2026-08-11T21:44:29
2025-08-16,2033009,2025-08-16,周六006,英格兰超级联赛,阿斯顿维拉,纽卡斯尔联,2.05,3.48,2.82,0,0,1,平,official_result_market_odds,2026-08-11T21:44:29
2025-08-16,2033010,2025-08-16,周六007,英格兰冠军联赛,德比郡,考文垂,3.5,2.95,1.98,3,5,2,负,official_result_market_odds,2026-08-11T21:44:29
2025-08-16,2033011,2025-08-16,周六008,英格兰冠军联赛,朴次茅斯,诺维奇,2.45,3.19,2.45,1,2,2,负,official_result_market_odds,2026-08-11T21:44:29
