赛事编号,比赛ID,比赛时间,联赛,主队,客队,主队模型名,客队模型名,官方胜奖金,官方平奖金,官方负奖金,模型主胜概率,模型平局概率,模型客胜概率,胜平负首选,胜平负首选概率,市场去水主胜概率,市场去水平局概率,市场去水客胜概率,最大价值方向,最大概率优势,建议状态,预测依据,置信等级,估算球队,市场最高概率,市场筛选阈值,同阈值历史命中率,同阈值历史覆盖率,筛选回测样本数,筛选回测期间,官方让球数,官方让胜奖金,官方让平奖金,官方让负奖金,模型让胜概率,模型让平概率,模型让负概率,让球首选,让球次选,让球首选概率,让球次选概率,让球最大价值方向,让球最大概率优势,小于2.5球概率,大于2.5球概率,大小球首选,大小球首选概率,半全场首选,半全场次选,半全场首选概率,半全场次选概率,半全场第三选择,半全场Top3,首选比分,首选比分概率,次选比分,次选比分概率,第三比分,最可能比分Top3,原始最高概率比分,原始最高概率比分概率,爆冷比分,比分爆冷,爆冷比分概率,数据来源
周五003,2040845,2026-08-15,德国乙级联赛,基尔,圣保利,基尔,圣保利,2.38,3.23,2.5,0.3719072972126526,0.27403695584090193,0.3540557469464453,胜,0.3719072972126526,0.3719072972126526,0.27403695584090193,0.3540557469464453,,,跳过,官方赔率市场基线（未训练联赛）,低,,0.3719072972126526,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,-1.0,5.4,4.16,1.42,0.15824180516648859,0.21025446112719323,0.6315037337063182,负,平,0.6315037337063182,0.21025446112719323,负,0.008182461314034106,0.5631908849422461,0.4368091150577538,小于2.5球,0.5631908849422461,胜胜,负负,0.21319370653871605,0.20533707635313397,平平,胜胜 21.3% / 负负 20.5% / 平平 17.5%,1-1,0.13013245347948862,1-0,0.10844371123290725,0-1,1-1 13.0% / 1-0 10.8% / 0-1 10.6%,1-1,0.13013245347948862,1-1,1-1,0.13013245347948862,https://m.sporttery.cn/mjc/jsq/zqspf/
周五004,2040846,2026-08-15,德国乙级联赛,不伦瑞克,波鸿,不伦瑞克,波鸿,2.18,3.2,2.8,0.4065335753176043,0.276950998185118,0.3165154264972777,胜,0.4065335753176043,0.4065335753176043,0.276950998185118,0.3165154264972777,,,跳过,官方赔率市场基线（未训练联赛）,低,,0.4065335753176043,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,-1.0,4.75,3.9,1.51,0.1801774429476756,0.2237492409407712,0.5960733161115532,负,平,0.5960733161115532,0.2237492409407712,负,0.009588583710052556,0.576253835933122,0.4237461640668782,小于2.5球,0.576253835933122,胜胜,负负,0.23604264081980642,0.18078842963837197,平平,胜胜 23.6% / 负负 18.1% / 平平 17.9%,1-1,0.1305192158905285,1-0,0.11865383262775317,0-1,1-1 13.1% / 1-0 11.9% / 0-1 10.2%,1-1,0.1305192158905285,1-1,1-1,0.1305192158905285,https://m.sporttery.cn/mjc/jsq/zqspf/
周五005,2040847,2026-08-15,沙特职业联赛,新未来SC,迈季迈阿宽广,新未来SC,迈季迈阿宽广,1.53,3.75,4.8,0.5791226292167366,0.23628203272042855,0.18459533806283482,胜,0.5791226292167366,0.5791226292167366,0.23628203272042855,0.18459533806283482,,,谨慎主推,官方赔率市场基线（未训练联赛）,低,,0.5791226292167366,0.55,0.6884384384,0.3267909715,4076,2025-01-01至2026-08-10,-1.0,2.84,3.2,2.15,0.325559846386311,0.2548302778241134,0.4196098757895757,负,胜,0.4196098757895757,0.325559846386311,胜,0.013880948134974536,0.5247237931914611,0.47527620680853877,小于2.5球,0.5247237931914611,胜胜,平胜,0.36464648453930804,0.19090213452505186,平平,胜胜 36.5% / 平胜 19.1% / 平平 15.0%,1-0,0.13163696500501856,2-0,0.11353688231682847,1-1,1-0 13.2% / 2-0 11.4% / 1-1 11.2%,1-0,0.13163696500501856,0-1,0-1,0.06486459145174829,https://m.sporttery.cn/mjc/jsq/zqspf/
周五006,2040848,2026-08-15,瑞超,埃尔夫斯堡,韦斯特罗斯,Elfsborg,Vasteras SK,1.57,3.6,4.65,0.5121752098454415,0.29686946813518234,0.1909553220193761,胜,0.5121752098454415,0.5637787320030311,0.2458701692346552,0.19035109876231368,平,0.050999298900527124,观察,历史数据训练模型,正常,,0.5637787320030311,0.55,0.6884384384,0.3267909715,4076,2025-01-01至2026-08-10,-1.0,2.93,3.25,2.08,0.2518806779655505,0.22905725201178953,0.5190620700226598,负,胜,0.5190620700226598,0.2518806779655505,负,0.09351161397200047,0.4886796110911872,0.5113203889088128,大于2.5球,0.5113203889088128,胜胜,平胜,0.3657704246785717,0.17024126876247483,平平,胜胜 36.6% / 平胜 17.0% / 平平 14.6%,2-1,0.09321550628152937,1-2,0.06155826471796938,3-1,2-1 9.3% / 1-2 6.2% / 3-1 4.8%,1-1,0.1218969197834534,0-1,0-1,0.079701648606708,https://m.sporttery.cn/mjc/jsq/zqspf/
周五007,2040849,2026-08-15,挪威超级联赛,罗森博格,维京,罗森博格,维京,2.28,3.6,2.42,0.3882768210503797,0.24590865333190715,0.3658145256177131,胜,0.3882768210503797,0.3882768210503797,0.24590865333190715,0.3658145256177131,,,跳过,官方赔率市场基线（未训练联赛）,低,,0.3882768210503797,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,1.0,1.42,4.4,5.05,0.633850858668252,0.1947277962676561,0.17142134506409187,胜,平,0.633850858668252,0.1947277962676561,胜,0.010376574878022238,0.4344850343187077,0.5655149656812923,大于2.5球,0.5655149656812923,胜胜,负负,0.23152049777194136,0.21664035883387678,平平,胜胜 23.2% / 负负 21.7% / 平平 13.9%,2-1,0.08552347100106546,1-2,0.08267268863436328,2-2,2-1 8.6% / 1-2 8.3% / 2-2 6.2%,1-1,0.11403129466808737,1-1,1-1,0.11403129466808737,https://m.sporttery.cn/mjc/jsq/zqspf/
周五008,2040850,2026-08-15,沙特职业联赛,达曼协定,利雅得,达曼协定,利雅得,1.9,3.35,3.28,0.46588933644265423,0.2642357430570278,0.269874920500318,胜,0.46588933644265423,0.46588933644265423,0.2642357430570278,0.269874920500318,,,跳过,官方赔率市场基线（未训练联赛）,低,,0.46588933644265423,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,-1.0,3.75,3.7,1.69,0.23009214449239893,0.23839290288933807,0.5315149526182631,负,平,0.5315149526182631,0.23839290288933807,负,0.007247510098756571,0.5502418765125341,0.4497581234874659,小于2.5球,0.5502418765125341,胜胜,平平,0.28142089580549157,0.1674996127551918,平胜,胜胜 28.1% / 平平 16.7% / 平胜 16.4%,1-1,0.12519479100148284,1-0,0.12214125951364181,2-0,1-1 12.5% / 1-0 12.2% / 2-0 8.9%,1-1,0.12519479100148284,1-1,1-1,0.12519479100148284,https://m.sporttery.cn/mjc/jsq/zqspf/
周五010,2040851,2026-08-15,荷兰甲级联赛,特尔斯达,鹿特丹斯巴达,特尔斯达,鹿特丹斯巴达,1.96,3.6,2.94,0.45226130653266333,0.24623115577889448,0.30150753768844224,胜,0.45226130653266333,0.45226130653266333,0.24623115577889448,0.30150753768844224,,,跳过,官方赔率市场基线（未训练联赛）,低,,0.45226130653266333,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,-1.0,3.9,3.85,1.63,0.22732846233575582,0.2213448939283416,0.5513266437359026,负,胜,0.5513266437359026,0.22732846233575582,负,0.008239565338217458,0.46351574457700806,0.5364842554229919,大于2.5球,0.5364842554229919,胜胜,负负,0.27202911021243126,0.174322434633627,平胜,胜胜 27.2% / 负负 17.4% / 平胜 15.1%,2-1,0.0920935813580918,1-2,0.07309014393499348,2-2,2-1 9.2% / 1-2 7.3% / 2-2 5.8%,1-1,0.11694423029598967,1-1,1-1,0.11694423029598967,https://m.sporttery.cn/mjc/jsq/zqspf/
周五011,2040852,2026-08-15,荷兰乙级联赛,瓦尔韦克,多德勒支,瓦尔韦克,多德勒支,1.74,3.5,3.72,0.5089356911675031,0.25301374360898726,0.2380505652235095,胜,0.5089356911675031,0.5089356911675031,0.25301374360898726,0.2380505652235095,,,观察,官方赔率市场基线（未训练联赛）,低,,0.5089356911675031,0.5,0.6382047072,0.4482335623,4076,2025-01-01至2026-08-10,-1.0,3.32,3.6,1.82,0.26356372465490147,0.24303232841562508,0.4934039469294734,负,胜,0.4934039469294734,0.26356372465490147,负,0.006489368824333819,0.5247236976319638,0.47527630236803614,小于2.5球,0.5247236976319638,胜胜,平胜,0.3099367399824707,0.17220302490585696,平平,胜胜 31.0% / 平胜 17.2% / 平平 15.7%,1-1,0.12009903218605551,1-0,0.12009903218605551,2-0,1-1 12.0% / 1-0 12.0% / 2-0 9.5%,1-0,0.12009903218605551,0-1,0-1,0.0762533537689242,https://m.sporttery.cn/mjc/jsq/zqspf/
周五012,2040853,2026-08-15,荷兰乙级联赛,赫拉克勒斯,登博思,赫拉克勒斯,登博思,1.46,4.3,4.71,0.6062392988421796,0.20583938983943773,0.18792131131838266,胜,0.6062392988421796,0.6062392988421796,0.20583938983943773,0.18792131131838266,,,高置信主推,官方赔率市场基线（未训练联赛）,低,,0.6062392988421796,0.6,0.7241746539,0.2303729146,4076,2025-01-01至2026-08-10,-1.0,2.43,3.53,2.3,0.3676705738558851,0.23395163747955536,0.3983777886645595,负,胜,0.3983777886645595,0.3676705738558851,负,0.013475226955137865,0.39043721562225486,0.609562784377745,大于2.5球,0.609562784377745,胜胜,平胜,0.3910521848843204,0.17919811163112417,平平,胜胜 39.1% / 平胜 17.9% / 平平 11.6%,2-1,0.09973349520409165,3-1,0.06898233418283002,3-0,2-1 10.0% / 3-1 6.9% / 3-0 6.4%,2-1,0.09973349520409165,1-2,1-2,0.05166916016597522,https://m.sporttery.cn/mjc/jsq/zqspf/
周五013,2040854,2026-08-15,法国乙级联赛,阿纳西,罗德兹,阿纳西,罗德兹,2.16,3.05,2.95,0.40976887168393483,0.2901969714220654,0.30003415689399976,胜,0.40976887168393483,0.40976887168393483,0.2901969714220654,0.30003415689399976,,,跳过,官方赔率市场基线（未训练联赛）,低,,0.40976887168393483,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,-1.0,4.8,3.8,1.52,0.1779084846450369,0.2333182008008144,0.5887733145541487,负,平,0.5887733145541487,0.2333182008008144,负,0.0062490427094885614,0.6294246781641953,0.37057532183580466,小于2.5球,0.6294246781641953,胜胜,平平,0.23838501787239832,0.19710727572888623,负负,胜胜 23.8% / 平平 19.7% / 负负 16.6%,1-0,0.1363737425154485,1-1,0.13296439895256226,0-0,1-0 13.6% / 1-1 13.3% / 0-0 11.4%,1-0,0.1363737425154485,1-1,1-1,0.13296439895256226,https://m.sporttery.cn/mjc/jsq/zqspf/
