赛事编号,比赛ID,比赛时间,联赛,主队,客队,主队模型名,客队模型名,官方胜奖金,官方平奖金,官方负奖金,模型主胜概率,模型平局概率,模型客胜概率,胜平负首选,胜平负首选概率,市场去水主胜概率,市场去水平局概率,市场去水客胜概率,最大价值方向,最大概率优势,建议状态,预测依据,专用模型联赛,模型类别,胜负模型类别,置信等级,估算球队,市场最高概率,市场筛选阈值,同阈值历史命中率,同阈值历史覆盖率,筛选回测样本数,筛选回测期间,官方让球数,官方让胜奖金,官方让平奖金,官方让负奖金,模型让胜概率,模型让平概率,模型让负概率,让球首选,让球次选,让球首选概率,让球次选概率,让球最大价值方向,让球最大概率优势,小于2.5球概率,大于2.5球概率,大小球首选,大小球首选概率,半全场首选,半全场次选,半全场首选概率,半全场次选概率,半全场第三选择,半全场Top3,首选比分,首选比分概率,次选比分,次选比分概率,第三比分,最可能比分Top3,原始最高概率比分,原始最高概率比分概率,爆冷比分,比分爆冷,爆冷比分概率,数据来源
周二001,2040930,2026-08-19,南美解放者杯,里瓦达维亚独立,弗鲁米嫩塞,里瓦达维亚独立,弗鲁米嫩塞,2.44,2.58,3.02,0.3631499468670184,0.34344413579671507,0.2934059173362666,胜,0.3631499468670184,0.3631499468670184,0.34344413579671507,0.2934059173362666,,,跳过,官方赔率市场基线（未训练联赛）,,通用/市场模型,市场基线,低,,0.3631499468670184,0.0,0.516,1.0,1000,2026-04-26至2026-08-18,-1.0,6.1,4.0,1.4,0.16100441061341905,0.2231568485340404,0.6158387408525406,负,平,0.6158387408525406,0.2231568485340404,胜,0.015700829918037618,0.6697002474007887,0.33029975259921107,小于2.5球,0.6697002474007887,平平,胜胜,0.24421837718725375,0.17856827579283066,平胜,平平 24.4% / 胜胜 17.9% / 平胜 16.9%,1-1,0.14372022464759063,0-0,0.13588093966681297,1-0,1-1 14.4% / 0-0 13.6% / 1-0 11.9%,1-1,0.14372022464759063,0-1,0-1,0.0996460224223295,https://m.sporttery.cn/mjc/jsq/zqspf/
周二002,2040943,2026-08-19,欧洲冠军联赛,索菲亚列夫斯基,雅典AEK,索菲亚列夫斯基,雅典AEK,3.05,2.9,2.19,0.2927379601406615,0.3072001485174467,0.4000618913418918,负,0.4000618913418918,0.29032479257616967,0.30534159219217843,0.40433361523165184,,,跳过,官方赔率80% + 欧战历史/Elo校准20%,,通用/市场模型,欧战校准模型,中,,0.40433361523165184,0.0,0.516,1.0,1000,2026-04-26至2026-08-18,1.0,1.5,3.75,5.1,0.5813507474861361,0.2226253474548276,0.19602390505903639,胜,平,0.5813507474861361,0.2226253474548276,负,0.022412793947925252,0.5762641861062571,0.423735813893743,小于2.5球,0.5762641861062571,负负,平平,0.2158163821599007,0.20021519790737777,平负,负负 21.6% / 平平 20.0% / 平负 17.1%,1-1,0.1357570176857025,0-1,0.10666622818162337,1-0,1-1 13.6% / 0-1 10.7% / 1-0 8.5%,1-1,0.1357570176857025,2-1,2-1,0.07466635972713637,https://m.sporttery.cn/mjc/jsq/zqspf/
周二003,2040950,2026-08-19,欧洲冠军联赛,萨格勒布迪纳摩,维京,萨格勒布迪纳摩,维京,1.55,3.85,4.45,0.5791863295058413,0.22633808541408537,0.19447558508007334,胜,0.5791863295058413,0.5711309275772981,0.22993582798566545,0.19893324443703642,,,观察,官方赔率80% + 欧战历史/Elo校准20%,,通用/市场模型,欧战校准模型,中,,0.5711309275772981,0.55,0.6407766990291263,0.412,412,2026-04-26至2026-08-18,-1.0,2.86,3.3,2.1,0.33397008054431176,0.2286182524751931,0.4374116669804952,负,胜,0.4374116669804952,0.33397008054431176,胜,0.0242355672699755,0.38009076792816243,0.6199092320718376,大于2.5球,0.6199092320718376,胜胜,平胜,0.3459502578276051,0.1845068041747227,平平,胜胜 34.6% / 平胜 18.5% / 平平 12.4%,2-1,0.11066870820455205,3-1,0.06791034367097512,2-2,2-1 11.1% / 3-1 6.8% / 2-2 6.2%,2-1,0.11066870820455205,1-2,1-2,0.053358127170051874,https://m.sporttery.cn/mjc/jsq/zqspf/
周二004,2040944,2026-08-19,欧洲冠军联赛,费内巴切,里昂,费内巴切,里昂,1.85,3.34,3.45,0.48674442980049726,0.261680573600829,0.25157499659867366,胜,0.48674442980049726,0.4784404907720733,0.26500446345159756,0.2565550457763292,,,跳过,官方赔率80% + 欧战历史/Elo校准20%,,通用/市场模型,欧战校准模型,中,,0.4784404907720733,0.0,0.516,1.0,1000,2026-04-26至2026-08-18,-1.0,3.7,3.6,1.72,0.26346734569641084,0.218461686780646,0.5180709675229431,负,胜,0.5180709675229431,0.26346734569641084,胜,0.02417224599011933,0.435260422552203,0.5647395774477969,大于2.5球,0.5647395774477969,胜胜,平胜,0.2636115221489358,0.17481606205666267,负负,胜胜 26.4% / 平胜 17.5% / 负负 14.7%,2-1,0.09953363283808328,1-2,0.07109545202720234,2-2,2-1 10.0% / 1-2 7.1% / 2-2 6.5%,1-1,0.11059292537564808,0-1,0-1,0.05742324971427882,https://m.sporttery.cn/mjc/jsq/zqspf/
周三001,2040937,2026-08-19,韩国杯,安养FC,济州SK,安养FC,济州SK,2.63,3.0,2.41,0.33693256222533935,0.29537754621754747,0.367689891557113,负,0.367689891557113,0.33693256222533935,0.29537754621754747,0.367689891557113,,,跳过,官方赔率市场基线（未训练联赛）,,通用/市场模型,市场基线,低,,0.367689891557113,0.0,0.516,1.0,1000,2026-04-26至2026-08-18,1.0,1.43,3.95,5.65,0.6217393304453045,0.20608310693259024,0.1721775626221052,胜,平,0.6217393304453045,0.20608310693259024,负,0.01547284219930628,0.5294197138369002,0.4705802861630999,小于2.5球,0.5294197138369002,负负,胜胜,0.1930470678452489,0.1844671981632378,平平,负负 19.3% / 胜胜 18.4% / 平平 17.7%,1-1,0.12874671958794762,0-1,0.09334137170126201,1-0,1-1 12.9% / 0-1 9.3% / 1-0 8.8%,1-1,0.12874671958794762,0-0,0-0,0.07860326038001011,https://m.sporttery.cn/mjc/jsq/zqspf/
周三002,2040938,2026-08-20,西甲,马德里竞技,马拉加,Ath Madrid,Malaga,1.2,5.1,10.0,0.7517608312231956,0.16810285807517977,0.08013631070162465,胜,0.7517608312231956,0.7378472222222221,0.1736111111111111,0.08854166666666666,胜,0.013913609000973493,跳过,历史数据训练模型,西甲,西甲专用模型,西甲专用模型,正常,,0.7378472222222221,0.675,0.7608695652173914,0.138,138,2026-04-26至2026-08-18,-1.0,1.74,3.6,3.61,0.4471487416927623,0.2537698735726533,0.29908138473458445,胜,负,0.4471487416927623,0.29908138473458445,负,0.05383249469723328,0.4261015527279738,0.5738984472720262,大于2.5球,0.5738984472720262,胜胜,平胜,0.5114409383123159,0.22710921503257522,平平,胜胜 51.1% / 平胜 22.7% / 平平 9.5%,3-0,0.12276011045904626,2-1,0.08177393158253421,4-0,3-0 12.3% / 2-1 8.2% / 4-0 7.6%,2-0,0.14935676900034775,0-1,0-1,0.030215450364436028,https://m.sporttery.cn/mjc/jsq/zqspf/
周三003,2040931,2026-08-20,南美解放者杯,波特诺山丘,帕尔梅拉斯,波特诺山丘,帕尔梅拉斯,5.05,3.05,1.66,0.1755030590845278,0.29058703225470994,0.5339099086607623,负,0.5339099086607623,0.1755030590845278,0.29058703225470994,0.5339099086607623,,,跳过,官方赔率市场基线（未训练联赛）,,通用/市场模型,市场基线,低,,0.5339099086607623,0.0,0.516,1.0,1000,2026-04-26至2026-08-18,1.0,1.95,3.2,3.3,0.4621228150666814,0.2601679725922391,0.2777092123410794,胜,负,0.4621228150666814,0.2777092123410794,负,0.009148850817515874,0.6032714772836034,0.3967285227163966,小于2.5球,0.6032714772836034,负负,平负,0.29687605424735175,0.19791736949823446,平平,负负 29.7% / 平负 19.8% / 平平 18.5%,0-1,0.14092534864352024,1-1,0.11950469564970516,0-2,0-1 14.1% / 1-1 12.0% / 0-2 10.8%,0-1,0.14092534864352024,1-0,1-0,0.07113374741053878,https://m.sporttery.cn/mjc/jsq/zqspf/
周三006,2040945,2026-08-20,欧洲冠军联赛,凯尔特人,LASK林茨,凯尔特人,LASK林茨,1.58,3.7,4.45,0.5586259750474675,0.24088895049279976,0.20048507445973274,胜,0.5586259750474675,0.5611410265148934,0.23962238429554905,0.19923658918955767,,,观察,官方赔率80% + 欧战历史/Elo校准20%,,通用/市场模型,欧战校准模型,中,,0.5611410265148934,0.55,0.6407766990291263,0.412,412,2026-04-26至2026-08-18,-1.0,2.76,3.5,2.08,0.32195663379566014,0.23255830121649146,0.44548506498784846,负,胜,0.44548506498784846,0.32195663379566014,负,0.01957416237418408,0.4248299139470866,0.5751700860529133,大于2.5球,0.5751700860529133,胜胜,平胜,0.33265720311201463,0.18079195821305144,平平,胜胜 33.3% / 平胜 18.1% / 平平 13.6%,2-1,0.10671004345095866,3-1,0.06224752534639256,1-2,2-1 10.7% / 3-1 6.2% / 1-2 5.7%,2-1,0.10671004345095866,0-1,0-1,0.05335502172547933,https://m.sporttery.cn/mjc/jsq/zqspf/
周三007,2040946,2026-08-20,欧洲冠军联赛,奈梅亨,博德闪耀,奈梅亨,博德闪耀,2.35,3.5,2.4,0.3836066942308203,0.2522874165932749,0.36410588917590486,胜,0.3836066942308203,0.37727374803503255,0.25331237368066467,0.3694138782843027,,,跳过,官方赔率80% + 欧战历史/Elo校准20%,,通用/市场模型,欧战校准模型,中,,0.37727374803503255,0.0,0.516,1.0,1000,2026-04-26至2026-08-18,-1.0,4.85,4.3,1.45,0.21585204648550746,0.18606638160440933,0.5980815719100833,负,胜,0.5980815719100833,0.21585204648550746,胜,0.033128037400592836,0.3516235547207058,0.6483764452792943,大于2.5球,0.6483764452792943,胜胜,负负,0.21912160045641557,0.20308831261814128,平胜,胜胜 21.9% / 负负 20.3% / 平胜 13.9%,2-1,0.09063776417751325,1-2,0.08545846336736963,2-2,2-1 9.1% / 1-2 8.5% / 2-2 7.1%,1-1,0.09970154059526458,1-1,1-1,0.09970154059526458,https://m.sporttery.cn/mjc/jsq/zqspf/
周三008,2040947,2026-08-20,欧洲冠军联赛,布拉迪斯拉发,采列,布拉迪斯拉发,采列,1.68,3.5,4.05,0.5305101716922069,0.2529716951253332,0.2165181331824599,胜,0.5305101716922069,0.527756059421423,0.253322908522283,0.218921032056294,,,跳过,官方赔率80% + 欧战历史/Elo校准20%,,通用/市场模型,欧战校准模型,中,,0.527756059421423,0.0,0.516,1.0,1000,2026-04-26至2026-08-18,-1.0,3.1,3.5,1.92,0.3010498914204203,0.2323945169803276,0.4665555915992521,负,胜,0.4665555915992521,0.3010498914204203,胜,0.015359899072830863,0.4337786397233445,0.5662213602766556,大于2.5球,0.5662213602766556,胜胜,平胜,0.30752087837496184,0.1785605100241714,平平,胜胜 30.8% / 平胜 17.9% / 平平 13.2%,2-1,0.10663489058448947,1-2,0.062203686174285525,3-1,2-1 10.7% / 1-2 6.2% / 3-1 5.7%,2-1,0.10663489058448947,0-1,0-1,0.05741878723780203,https://m.sporttery.cn/mjc/jsq/zqspf/
