赛事编号,比赛ID,比赛时间,联赛,主队,客队,主队模型名,客队模型名,官方胜奖金,官方平奖金,官方负奖金,模型主胜概率,模型平局概率,模型客胜概率,胜平负首选,胜平负首选概率,市场去水主胜概率,市场去水平局概率,市场去水客胜概率,最大价值方向,最大概率优势,建议状态,预测依据,专用模型联赛,模型类别,胜负模型类别,置信等级,估算球队,市场最高概率,市场筛选阈值,同阈值历史命中率,同阈值历史覆盖率,筛选回测样本数,筛选回测期间,官方让球数,官方让胜奖金,官方让平奖金,官方让负奖金,模型让胜概率,模型让平概率,模型让负概率,让球首选,让球次选,让球首选概率,让球次选概率,让球最大价值方向,让球最大概率优势,小于2.5球概率,大于2.5球概率,大小球首选,大小球首选概率,半全场首选,半全场次选,半全场首选概率,半全场次选概率,半全场第三选择,半全场Top3,首选比分,首选比分概率,次选比分,次选比分概率,第三比分,最可能比分Top3,原始最高概率比分,原始最高概率比分概率,爆冷比分,比分爆冷,爆冷比分概率,数据来源
周四001,2040934,2026-08-21,沙特职业联赛,迈季迈阿宽广,利雅得新月,迈季迈阿宽广,利雅得新月,11.0,5.95,1.15,0.08055449274509227,0.14892427230185123,0.7705212349530565,负,0.7705212349530565,0.08055449274509227,0.14892427230185123,0.7705212349530565,,,精选主推,官方赔率市场基线（未训练联赛）,,通用/市场模型,市场基线,低,,0.7705212349530565,0.675,0.7591240875912408,0.137,137,2026-04-26至2026-08-20,2.0,2.09,3.8,2.58,0.48578323003788915,0.21072362950736415,0.3034931404547467,胜,负,0.48578323003788915,0.3034931404547467,胜,0.06206833432430725,0.36968280962833133,0.6303171903716686,大于2.5球,0.6303171903716686,负负,平负,0.5356346115437166,0.20005630069705074,平平,负负 53.6% / 平负 20.0% / 平平 8.7%,1-2,0.09634303609683909,0-3,0.09333231621881287,1-3,1-2 9.6% / 0-3 9.3% / 1-3 7.5%,0-2,0.11946536476008046,2-1,2-1,0.03111077207293762,https://m.sporttery.cn/mjc/jsq/zqspf/
周四002,2040935,2026-08-21,西甲,巴列卡诺,阿拉维斯,Vallecano,Alaves,2.03,2.84,3.52,0.43540376418456495,0.3069831228972213,0.25761311291821376,胜,0.43540376418456495,0.4363966543854441,0.3119314114093139,0.2516719342052419,负,0.00594117871297184,跳过,历史数据训练模型,西甲,西甲专用模型,西甲专用模型,正常,,0.4363966543854441,0.0,0.514,1.0,1000,2026-04-26至2026-08-20,-1.0,4.77,3.35,1.61,0.2513023164012791,0.24325411054404927,0.5054435730546716,负,胜,0.5054435730546716,0.2513023164012791,胜,0.06565692027630618,0.6368052537529588,0.3631947462470412,小于2.5球,0.6368052537529588,胜胜,平平,0.25114934909359515,0.2039630366086943,平胜,胜胜 25.1% / 平平 20.4% / 平胜 16.7%,1-0,0.1741490282663569,0-0,0.13118442722962467,1-1,1-0 17.4% / 0-0 13.1% / 1-1 12.2%,1-0,0.1741490282663569,0-1,0-1,0.11158399069663345,https://m.sporttery.cn/mjc/jsq/zqspf/
周四003,2040936,2026-08-21,南美解放者杯,科林蒂安,罗萨里奥中央,科林蒂安,罗萨里奥中央,1.86,2.67,4.6,0.4759690282977189,0.33157392982537726,0.19245704187690377,胜,0.4759690282977189,0.4759690282977189,0.33157392982537726,0.19245704187690377,,,跳过,官方赔率市场基线（未训练联赛）,,通用/市场模型,市场基线,低,,0.4759690282977189,0.0,0.514,1.0,1000,2026-04-26至2026-08-20,-1.0,4.62,3.05,1.71,0.22338098375892845,0.26040375481254263,0.5162152614285289,负,平,0.5162152614285289,0.26040375481254263,胜,0.0316818802292832,0.6816551823119095,0.3183448176880906,小于2.5球,0.6816551823119095,胜胜,平平,0.2444876222241451,0.2375022615891695,平胜,胜胜 24.4% / 平平 23.8% / 平胜 19.8%,1-0,0.1589382536390935,0-0,0.13833514668587768,1-1,1-0 15.9% / 0-0 13.8% / 1-1 11.5%,1-0,0.1589382536390935,0-1,0-1,0.09337622401296744,https://m.sporttery.cn/mjc/jsq/zqspf/
周四004,2040951,2026-08-20,欧罗巴联赛,阿拉木图凯拉特,安德莱赫特,阿拉木图凯拉特,安德莱赫特,3.53,3.1,1.91,0.24790313476861386,0.289209428998829,0.46288743623255707,负,0.46288743623255707,0.2508228735549408,0.28561443343514226,0.46356269300991676,,,跳过,官方赔率80% + 欧战历史校准20%（Elo缺失）,,通用/市场模型,欧战校准模型,较低,,0.46356269300991676,0.0,0.514,1.0,1000,2026-04-26至2026-08-20,1.0,1.68,3.6,3.9,0.5314959985162647,0.23670424187047884,0.2317997596132564,胜,平,0.5314959985162647,0.23670424187047884,负,0.004772732586229345,0.5646441143816038,0.4353558856183962,小于2.5球,0.5646441143816038,负负,平负,0.2443523036274475,0.1806082244202873,平平,负负 24.4% / 平负 18.1% / 平平 15.4%,1-1,0.13335450246224156,0-1,0.10668360196979325,0-2,1-1 13.3% / 0-1 10.7% / 0-2 8.3%,1-1,0.13335450246224156,1-0,1-0,0.0711224013131955,https://m.sporttery.cn/mjc/jsq/zqspf/
周四005,2040952,2026-08-21,欧罗巴联赛,米亚尔比,萨尔茨堡,米亚尔比,萨尔茨堡,4.15,3.85,1.59,0.20699362361193735,0.23162791643902617,0.5613784599490365,负,0.5613784599490365,0.2133112640473909,0.22993292098614862,0.5567558149664605,,,观察,官方赔率80% + 欧战历史校准20%（Elo缺失）,,通用/市场模型,欧战校准模型,较低,,0.5567558149664605,0.555,0.6421319796954315,0.394,394,2026-04-26至2026-08-20,1.0,2.07,3.32,2.9,0.43817785177499236,0.2231649579112894,0.33865719031371816,胜,负,0.43817785177499236,0.33865719031371816,负,0.033263338717959334,0.3645349884658767,0.6354650115341233,大于2.5球,0.6354650115341233,负负,平负,0.3193765961406355,0.1845286999923672,平平,负负 31.9% / 平负 18.5% / 平平 13.1%,1-2,0.11059502338966555,1-3,0.07465164078802426,2-2,1-2 11.1% / 1-3 7.5% / 2-2 6.0%,1-2,0.11059502338966555,2-1,2-1,0.05742433906771097,https://m.sporttery.cn/mjc/jsq/zqspf/
周四006,2040953,2026-08-21,欧罗巴联赛,特拉布宗体育,费伦茨瓦罗斯,特拉布宗体育,费伦茨瓦罗斯,1.5,3.85,4.95,0.6021257499679248,0.2241609599771195,0.17371329005495578,胜,0.6021257499679248,0.5907928388746804,0.23017902813299232,0.17902813299232737,,,观察,官方赔率80% + 欧战历史校准20%（Elo缺失）,,通用/市场模型,欧战校准模型,较低,,0.5907928388746804,0.555,0.6421319796954315,0.394,394,2026-04-26至2026-08-20,-1.0,2.72,3.28,2.19,0.3501599759905094,0.23099890940704548,0.41884111460244516,负,胜,0.41884111460244516,0.3501599759905094,胜,0.02456255785220579,0.4453420560840011,0.5546579439159989,大于2.5球,0.5546579439159989,胜胜,平胜,0.36405391632011325,0.18445398426885734,平平,胜胜 36.4% / 平胜 18.4% / 平平 12.8%,2-1,0.11065307635914827,3-1,0.06790075140220463,3-0,2-1 11.1% / 3-1 6.8% / 3-0 5.7%,2-1,0.11065307635914827,1-2,1-2,0.05335059038744649,https://m.sporttery.cn/mjc/jsq/zqspf/
周四007,2040948,2026-08-21,欧罗巴联赛,波兹南莱赫,图恩,波兹南莱赫,图恩,1.34,4.5,6.2,0.6728901687644973,0.18990183510644637,0.13720799612905643,胜,0.6728901687644973,0.6605426393295137,0.19669491926701077,0.14276244140347555,,,高置信主推,官方赔率80% + 欧战历史校准20%（Elo缺失）,,通用/市场模型,欧战校准模型,较低,,0.6605426393295137,0.645,0.7150537634408602,0.186,186,2026-04-26至2026-08-20,-1.0,2.15,3.4,2.7,0.42559989478128113,0.23928290746248276,0.33511719775623616,胜,负,0.42559989478128113,0.33511719775623616,胜,0.013848380988951026,0.34220676604846956,0.6577932339515307,大于2.5球,0.6577932339515307,胜胜,平胜,0.4258779912647705,0.19091082367041437,平平,胜胜 42.6% / 平胜 19.1% / 平平 10.7%,2-1,0.10665982971934716,3-1,0.07466188080354302,3-0,2-1 10.7% / 3-1 7.5% / 3-0 6.8%,2-1,0.10665982971934716,1-2,1-2,0.03929572673870685,https://m.sporttery.cn/mjc/jsq/zqspf/
周四008,2040949,2026-08-21,欧罗巴联赛,贝尔格莱德红星,比尔森,贝尔格莱德红星,比尔森,1.61,3.7,4.2,0.559918118784517,0.23482345305292285,0.20525842816256018,胜,0.559918118784517,0.5499133019568987,0.23928659895962345,0.21080009908347783,,,跳过,官方赔率80% + 欧战历史校准20%（Elo缺失）,,通用/市场模型,欧战校准模型,较低,,0.5499133019568987,0.0,0.514,1.0,1000,2026-04-26至2026-08-20,-1.0,3.05,3.3,2.01,0.32065528571535784,0.22368723507919985,0.45565747920544236,负,胜,0.45565747920544236,0.32065528571535784,胜,0.0300974304029194,0.4025368297572347,0.5974631702427652,大于2.5球,0.5974631702427652,胜胜,平胜,0.3134106722430305,0.19092834056184615,平平,胜胜 31.3% / 平胜 19.1% / 平平 13.8%,2-1,0.1067230663751363,2-2,0.059764917170076336,1-2,2-1 10.7% / 2-2 6.0% / 1-2 5.7%,2-1,0.1067230663751363,0-1,0-1,0.04980409764173028,https://m.sporttery.cn/mjc/jsq/zqspf/
周五001,2040960,2026-08-21,日职,柏太阳神,长崎航海,柏太阳神,长崎航海,1.39,4.0,6.25,0.636983247340595,0.2213516784508567,0.1416650742085483,胜,0.636983247340595,0.636983247340595,0.2213516784508567,0.1416650742085483,,,观察,官方赔率市场基线（球队尚未映射）,,通用/市场模型,市场基线,低,,0.636983247340595,0.555,0.6421319796954315,0.394,394,2026-04-26至2026-08-20,-1.0,2.41,3.22,2.48,0.3921084023242389,0.26543816588954044,0.3424534317862207,胜,负,0.3921084023242389,0.3424534317862207,胜,0.024491266253971078,0.4437926096654953,0.5562073903345048,大于2.5球,0.5562073903345048,胜胜,平胜,0.38604353632926564,0.2184193692389266,平平,胜胜 38.6% / 平胜 21.8% / 平平 13.1%,2-1,0.11946153300762584,3-0,0.07466345812976614,3-1,2-1 11.9% / 3-0 7.5% / 3-1 6.8%,2-1,0.11946153300762584,0-1,0-1,0.041479698960981186,https://m.sporttery.cn/mjc/jsq/zqspf/
周五002,2040961,2026-08-21,日职,东京FC,千叶市原,东京FC,千叶市原,1.37,4.05,6.55,0.646231988209357,0.21860193181402943,0.1351660799766136,胜,0.646231988209357,0.646231988209357,0.21860193181402943,0.1351660799766136,,,高置信主推,官方赔率市场基线（球队尚未映射）,,通用/市场模型,市场基线,低,,0.646231988209357,0.645,0.7150537634408602,0.186,186,2026-04-26至2026-08-20,-1.0,2.33,3.25,2.55,0.38313008875978005,0.26233307831789393,0.354536832922326,胜,负,0.38313008875978005,0.354536832922326,负,0.007198347038327169,0.4576919550958837,0.5423080449041161,大于2.5球,0.5423080449041161,胜胜,平胜,0.39358370391372516,0.21854253033104212,平平,胜胜 39.4% / 平胜 21.9% / 平平 13.3%,2-1,0.11492687240593447,3-0,0.07114520672748323,3-1,2-1 11.5% / 3-0 7.1% / 3-1 6.8%,1-0,0.11492687240593447,0-1,0-1,0.043942627684622,https://m.sporttery.cn/mjc/jsq/zqspf/
