Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,HTR,HST,AST,HC,AC,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HSTF,ASTF,HCF,ACF
2026-05-24,2025,Verona,Roma,0.0,2.0,A,U,9.84,5.01,1.3,D,3.0,7.0,6.0,6.0,19,0.0,2.0,3.0,2.0,0.0,8.0,-8.0,3.0,9.0,-6.0,-3.0,-1.0,-2.0,0.0,1.0,-1.0,0.0,1.0,-1.0,5.6,66.7,50.0,44.4,16.0,13.0,24.0,18.0
2026-05-24,2025,Torino,Juventus,2.0,2.0,D,O,7.23,4.45,1.4,A,5.0,4.0,6.0,6.0,19,3.0,3.0,0.0,0.0,10.0,3.0,7.0,5.0,0.0,5.0,5.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,44.4,38.9,50.0,27.8,14.0,21.0,17.0,18.0
2026-05-24,2025,Parma,Sassuolo,1.0,0.0,H,U,2.61,3.3,2.55,D,3.0,1.0,1.0,1.0,19,1.0,0.0,2.0,2.0,4.0,3.0,1.0,6.0,5.0,1.0,-2.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,22.2,44.4,27.8,44.4,11.0,15.0,16.0,16.0
2026-05-24,2025,Napoli,Udinese,1.0,0.0,H,U,1.47,4.07,6.72,H,6.0,3.0,3.0,3.0,19,2.0,3.0,2.0,0.0,7.0,10.0,-3.0,5.0,3.0,2.0,2.0,7.0,-5.0,1.0,3.0,-2.0,1.0,0.0,1.0,66.7,11.1,44.4,38.9,17.0,23.0,30.0,13.0
2026-05-24,2025,Milan,Cagliari,1.0,2.0,A,O,1.26,5.3,10.35,D,3.0,10.0,5.0,5.0,19,1.0,0.0,2.0,3.0,5.0,2.0,3.0,8.0,8.0,0.0,-3.0,-6.0,3.0,0.0,0.0,0.0,1.0,2.0,-1.0,50.0,22.2,16.7,50.0,19.0,10.0,11.0,18.0
2026-05-24,2025,Lecce,Genoa,1.0,0.0,H,U,1.73,3.42,4.84,H,4.0,1.0,1.0,6.0,19,1.0,1.0,2.0,1.0,3.0,2.0,1.0,6.0,3.0,3.0,-3.0,-1.0,-2.0,0.0,0.0,0.0,1.0,1.0,0.0,22.2,50.0,22.2,38.9,10.0,13.0,12.0,15.0
2026-05-24,2025,Cremonese,Como,1.0,4.0,A,O,5.33,4.05,1.55,A,1.0,6.0,2.0,4.0,19,1.0,2.0,2.0,1.0,5.0,4.0,1.0,4.0,2.0,2.0,1.0,2.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.7,44.4,50.0,22.2,18.0,13.0,18.0,20.0
2026-05-23,2025,Lazio,Pisa,2.0,1.0,H,O,1.52,4.16,5.76,H,9.0,2.0,5.0,1.0,19,1.0,0.0,1.0,4.0,5.0,0.0,5.0,7.0,12.0,-5.0,-2.0,-12.0,10.0,0.0,0.0,0.0,1.0,3.0,-2.0,38.9,27.8,0.0,55.6,15.0,8.0,17.0,9.0
2026-05-23,2025,Bologna,Inter,3.0,3.0,D,O,2.95,3.64,2.19,H,3.0,5.0,1.0,4.0,19,1.0,2.0,2.0,0.0,2.0,10.0,-8.0,4.0,6.0,-2.0,-2.0,4.0,-6.0,1.0,1.0,0.0,2.0,0.0,2.0,33.3,50.0,72.2,16.7,14.0,19.0,24.0,12.0
2026-05-22,2025,Fiorentina,Atalanta,1.0,1.0,D,U,2.65,3.43,2.49,H,4.0,6.0,3.0,3.0,19,1.0,2.0,0.0,1.0,2.0,9.0,-7.0,1.0,6.0,-5.0,1.0,3.0,-2.0,0.0,1.0,-1.0,0.0,0.0,0.0,22.2,33.3,33.3,27.8,14.0,19.0,19.0,19.0
2026-05-17,2025,Udinese,Cremonese,0.0,1.0,A,U,2.34,3.26,2.97,A,2.0,4.0,5.0,5.0,19,1.0,1.0,2.0,3.0,2.0,3.0,-1.0,2.0,7.0,-5.0,0.0,-4.0,4.0,1.0,1.0,0.0,0.0,1.0,-1.0,33.3,38.9,22.2,61.1,17.0,15.0,23.0,15.0
2026-05-17,2025,Sassuolo,Lecce,2.0,3.0,A,O,2.67,3.18,2.61,A,6.0,6.0,2.0,8.0,19,3.0,1.0,1.0,2.0,6.0,2.0,4.0,3.0,4.0,-1.0,3.0,-2.0,5.0,1.0,0.0,1.0,0.0,1.0,-1.0,50.0,38.9,22.2,61.1,13.0,10.0,16.0,13.0
2026-05-17,2025,Roma,Lazio,2.0,0.0,H,U,1.52,4.09,6.0,H,7.0,2.0,8.0,3.0,19,3.0,3.0,0.0,1.0,9.0,6.0,3.0,1.0,2.0,-1.0,8.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,66.7,16.7,33.3,33.3,21.0,21.0,22.0,10.0
2026-05-17,2025,Pisa,Napoli,0.0,3.0,A,O,8.06,4.63,1.37,A,2.0,5.0,1.0,6.0,19,1.0,2.0,3.0,0.0,5.0,4.0,1.0,6.0,2.0,4.0,-1.0,2.0,-3.0,1.0,0.0,1.0,0.0,0.0,0.0,11.1,66.7,50.0,33.3,18.0,17.0,13.0,21.0
2026-05-17,2025,Juventus,Fiorentina,0.0,2.0,A,U,1.31,5.28,8.38,A,9.0,4.0,6.0,2.0,19,2.0,2.0,0.0,1.0,6.0,6.0,0.0,2.0,6.0,-4.0,4.0,0.0,4.0,2.0,1.0,1.0,0.0,1.0,-1.0,55.6,5.6,22.2,44.4,24.0,11.0,34.0,14.0
2026-05-17,2025,Inter,Verona,1.0,1.0,D,U,1.18,6.85,12.88,D,6.0,5.0,10.0,2.0,19,3.0,1.0,0.0,2.0,11.0,4.0,7.0,3.0,5.0,-2.0,8.0,-1.0,9.0,3.0,0.0,3.0,0.0,0.0,0.0,77.8,11.1,11.1,55.6,22.0,15.0,21.0,14.0
2026-05-17,2025,Genoa,Milan,1.0,2.0,A,O,4.65,3.69,1.71,D,2.0,6.0,4.0,4.0,19,2.0,1.0,2.0,3.0,4.0,1.0,3.0,6.0,4.0,2.0,-2.0,-3.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,33.3,44.4,55.6,16.7,15.0,8.0,17.0,16.0
2026-05-17,2025,Como,Parma,1.0,0.0,H,U,1.24,5.69,11.34,D,7.0,2.0,15.0,2.0,19,2.0,1.0,1.0,2.0,10.0,3.0,7.0,5.0,7.0,-2.0,5.0,-4.0,9.0,1.0,0.0,1.0,0.0,2.0,-2.0,50.0,16.7,33.3,33.3,27.0,8.0,18.0,17.0
2026-05-17,2025,Cagliari,Torino,2.0,1.0,H,O,2.35,3.11,3.08,H,4.0,3.0,5.0,1.0,19,2.0,1.0,2.0,2.0,4.0,3.0,1.0,5.0,5.0,0.0,-1.0,-2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,33.3,44.4,22.2,50.0,14.0,11.0,20.0,11.0
2026-05-17,2025,Atalanta,Bologna,0.0,1.0,A,U,1.64,4.06,4.65,D,1.0,5.0,2.0,5.0,19,1.0,3.0,1.0,1.0,3.0,6.0,-3.0,3.0,5.0,-2.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,50.0,16.7,50.0,27.8,17.0,14.0,32.0,10.0
2026-05-11,2025,Napoli,Bologna,2.0,3.0,A,O,1.52,4.01,6.06,A,5.0,4.0,7.0,1.0,18,3.0,3.0,1.0,1.0,7.0,4.0,3.0,3.0,3.0,0.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,70.6,5.9,47.1,29.4,16.0,11.0,30.0,13.0
2026-05-10,2025,Verona,Como,0.0,1.0,A,U,8.03,4.6,1.37,D,3.0,4.0,7.0,7.0,18,0.0,2.0,3.0,1.0,0.0,5.0,-5.0,4.0,3.0,1.0,-4.0,2.0,-6.0,0.0,1.0,-1.0,1.0,0.0,1.0,5.9,64.7,47.1,23.5,14.0,11.0,21.0,16.0
2026-05-10,2025,Parma,Roma,2.0,3.0,A,O,6.12,4.01,1.53,A,3.0,7.0,3.0,6.0,18,1.0,1.0,1.0,3.0,3.0,6.0,-3.0,4.0,9.0,-5.0,-1.0,-3.0,2.0,0.0,1.0,-1.0,1.0,1.0,0.0,23.5,41.2,47.1,47.1,12.0,7.0,19.0,18.0
2026-05-10,2025,Milan,Atalanta,2.0,3.0,A,O,2.05,3.42,3.47,A,9.0,5.0,2.0,2.0,18,2.0,1.0,1.0,1.0,4.0,7.0,-3.0,5.0,5.0,0.0,-1.0,2.0,-3.0,0.0,1.0,-1.0,1.0,0.0,1.0,52.9,17.6,29.4,29.4,12.0,17.0,10.0,20.0
2026-05-10,2025,Fiorentina,Genoa,0.0,0.0,D,U,2.06,3.31,3.56,D,1.0,3.0,4.0,3.0,18,1.0,2.0,0.0,1.0,2.0,4.0,-2.0,1.0,3.0,-2.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,23.5,35.3,23.5,41.2,14.0,13.0,22.0,14.0
2026-05-10,2025,Cremonese,Pisa,3.0,0.0,H,O,1.69,3.62,4.97,H,6.0,0.0,7.0,1.0,18,0.0,0.0,3.0,4.0,3.0,0.0,3.0,8.0,13.0,-5.0,-5.0,-13.0,8.0,0.0,0.0,0.0,1.0,3.0,-2.0,11.8,47.1,0.0,52.9,15.0,10.0,15.0,12.0
2026-05-09,2025,Lecce,Juventus,0.0,1.0,A,U,6.74,4.42,1.44,A,3.0,6.0,1.0,7.0,18,1.0,2.0,2.0,0.0,3.0,5.0,-2.0,7.0,3.0,4.0,-4.0,2.0,-6.0,0.0,0.0,0.0,2.0,0.0,2.0,23.5,47.1,47.1,29.4,7.0,20.0,13.0,12.0
2026-05-09,2025,Lazio,Inter,0.0,3.0,A,O,4.37,3.72,1.75,A,5.0,5.0,5.0,1.0,18,2.0,1.0,0.0,1.0,7.0,7.0,0.0,5.0,7.0,-2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,41.2,23.5,70.6,17.6,15.0,16.0,13.0,17.0
