Date,Home,Away,HG,AG,1,X,2,Season,Result,HTR,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%
2026-08-16,Bucheon,Jeonbuk,3,2,4.2,3.3,1.72,2026,H,H,135,0.0,1.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,1.0,-1.0,0.0,0.0,0.0,9.1,45.5,36.4,18.2
2026-08-16,Incheon,Sangmu,1,1,2.0,3.1,3.3,2026,D,D,136,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4,54.5,27.3,27.3
2026-08-16,Ulsan,Gangwon,2,3,2.5,3.1,2.5,2026,A,A,137,1.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,-1.0,2.0,-1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,45.5,45.5,36.4,27.3
2026-08-15,Gwangju FC,Pohang,1,2,3.6,3.0,1.97,2026,A,A,132,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,-1.0,-1.0,-2.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,9.1,54.5,45.5,36.4
2026-08-15,Jeju,Anyang,2,0,2.2,3.05,2.95,2026,H,H,133,0.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,25.0,33.3,45.5,18.2
2026-08-15,Seoul,Daejeon,4,2,1.95,3.2,3.5,2026,H,A,134,0.0,1.0,1.0,0.0,1.0,2.0,-1.0,3.0,1.0,2.0,-2.0,1.0,-3.0,0.0,0.0,0.0,1.0,0.0,1.0,50.0,30.0,45.5,27.3
2026-08-08,Anyang,Daejeon,1,2,2.65,3.1,2.35,2026,A,A,127,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,-2.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,40.0,30.0
2026-08-08,Bucheon,Gwangju FC,0,0,1.92,3.05,3.7,2026,D,D,128,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,1.0,-1.0,-2.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,10.0,50.0,0.0,70.0
2026-08-08,Jeonbuk,Jeju,1,3,1.7,3.3,4.3,2026,A,A,129,0.0,1.0,0.0,0.0,0.0,2.0,-2.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,44.4,33.3
2026-08-08,Pohang,Ulsan,0,2,2.55,3.1,2.45,2026,A,D,130,0.0,1.0,1.0,0.0,0.0,3.0,-3.0,1.0,1.0,0.0,-1.0,2.0,-3.0,0.0,1.0,-1.0,0.0,0.0,0.0,30.0,50.0,50.0,20.0
