Date,Home,Away,SourceHome,SourceAway,HG,AG,HTHG,HTAG,MatchScore
2026-08-02,Goteborg,Degerfors,IFK Göteborg,Degerfors IF,2,0,1,0,0.8710526315789473
2026-08-02,Brommapojkarna,Malmo FF,IF Brommapojkarna,Malmö FF,1,2,0,0,0.9666666666666667
2026-08-02,AIK,Orgryte,AIK,Örgryte IS,0,3,0,2,0.9375
2026-08-01,Hacken,Kalmar,BK Häcken,Kalmar FF,1,1,1,1,0.8571428571428571
2026-07-26,Sirius,Goteborg,IK Sirius,IFK Göteborg,4,1,2,1,0.849624060150376
2026-07-26,Malmo FF,Elfsborg,Malmö FF,IF Elfsborg,1,2,1,2,0.9444444444444444
2026-07-26,GAIS,Halmstad,GAIS,Halmstads BK,1,1,0,0,0.9210526315789473
2026-07-26,Brommapojkarna,Hammarby,IF Brommapojkarna,Hammarby IF,1,1,0,0,0.9111111111111111
2026-07-25,Kalmar,Mjallby,Kalmar FF,Mjällby AIF,2,1,1,1,0.8403361344537814
2026-07-25,Degerfors,Djurgarden,Degerfors IF,Djurgården,0,1,0,1,0.95
2026-07-19,Hammarby,Degerfors,Hammarby IF,Degerfors IF,4,0,1,0,0.8944444444444444
2026-07-19,Halmstad,Hacken,Halmstads BK,BK Häcken,0,2,0,0,0.849624060150376
2026-07-19,Elfsborg,Sirius,IF Elfsborg,IK Sirius,1,3,0,0,0.873015873015873
2026-07-18,AIK,GAIS,AIK,GAIS,2,0,0,0,1.0
2026-07-12,Vasteras SK,Degerfors,Västerås SK,Degerfors IF,2,0,1,0,0.95
2026-07-12,Malmo FF,Goteborg,Malmö FF,IFK Göteborg,4,0,3,0,0.9210526315789473
2026-07-12,Hammarby,Kalmar,Hammarby IF,Kalmar FF,2,0,1,0,0.873015873015873
2026-07-12,GAIS,Elfsborg,GAIS,IF Elfsborg,1,0,0,0,0.9444444444444444
2026-07-12,Brommapojkarna,Sirius,IF Brommapojkarna,IK Sirius,1,2,0,2,0.8952380952380952
2026-07-11,Orgryte,Hacken,Örgryte IS,BK Häcken,4,3,1,2,0.8660714285714286
2026-07-11,Mjallby,AIK,Mjällby AIF,AIK,1,2,0,0,0.9117647058823529
2026-07-05,Kalmar,Orgryte,Kalmar FF,Örgryte IS,3,0,1,0,0.8660714285714286
2026-07-05,Goteborg,AIK,IFK Göteborg,AIK,1,2,1,1,0.9210526315789473
2026-07-05,Elfsborg,Hammarby,IF Elfsborg,Hammarby IF,1,2,0,0,0.8888888888888888
2026-07-04,Halmstad,Vasteras SK,Halmstads BK,Västerås SK,1,3,1,2,0.9210526315789473
2026-07-04,Degerfors,Malmo FF,Degerfors IF,Malmö FF,0,1,0,0,0.95
2026-05-31,Vasteras SK,Goteborg,Västerås SK,IFK Göteborg,4,5,2,4,0.9210526315789473
2026-05-31,Hacken,Hammarby,BK Häcken,Hammarby IF,3,2,0,2,0.873015873015873
2026-05-31,Degerfors,Brommapojkarna,Degerfors IF,IF Brommapojkarna,2,2,0,1,0.9166666666666667
2026-05-30,Malmo FF,Halmstad,Malmö FF,Halmstads BK,5,2,2,2,0.9210526315789473
