id,timestamp,liga_id,Home,Away,HG,AG,1,X,2,b_o1,b_oX,b_o2,p_o1,p_oX,p_o2,m_oO,m_oU,b_oO,b_oU,p_oO,p_oU,Date
ELP9VxVL,1394254800,7243,Pohang,Ulsan,0,1,2.22,3.16,3.04,2.25,3.25,3.2,2.45,3.31,3.12,2.0,1.75,2.1,1.7,2.12,1.78,2014-03-08
SOTDUdpS,1394262000,7243,Jeonbuk,Busan,3,0,1.57,3.74,5.26,1.67,3.75,5.0,1.78,3.84,4.81,1.85,1.87,1.95,1.85,1.97,1.91,2014-03-08
Y56tQGhq,1394262000,7243,Seoul,Jeonnam,0,1,1.54,3.81,5.62,1.57,3.75,6.0,1.7,3.96,5.24,1.89,1.86,1.85,1.95,1.98,1.9,2014-03-08
6XJmOfNe,1394341200,7243,Sangmu,Incheon,2,2,2.71,3.16,2.45,2.8,3.3,2.5,2.91,3.36,2.58,2.01,1.73,2.08,1.73,2.1,1.78,2014-03-09
Cd5pPz8k,1394341200,7243,Gyeongnam,Seongnam,1,0,2.85,3.14,2.36,3.2,3.2,2.3,3.2,3.25,2.43,2.08,1.69,2.25,1.62,2.3,1.65,2014-03-09
pOIiNEx2,1394348400,7243,Jeju,Suwon Bluewings,0,1,2.39,3.14,2.81,2.6,3.2,2.75,2.64,3.26,2.92,2.02,1.74,2.15,1.67,2.26,1.68,2014-03-09
bRrRyEie,1394859600,7243,Incheon,Jeonbuk,0,1,2.73,3.15,2.44,2.8,3.2,2.5,2.95,3.31,2.57,1.96,1.78,2.05,1.75,2.07,1.81,2014-03-15
tjYVzY61,1394866800,7243,Seongnam,Seoul,0,0,2.45,3.05,2.81,,,,2.56,3.01,3.26,2.25,1.6,,,2.6,1.51,2014-03-15
KtXZZiM7,1394859600,7243,Busan,Pohang,3,1,2.7,3.1,2.48,2.8,3.2,2.5,2.97,3.3,2.57,2.03,1.73,2.2,1.65,2.21,1.7,2014-03-15
8dQHbya8,1394953200,7243,Jeonnam,Jeju,1,2,2.41,3.07,2.86,2.6,3.1,2.8,2.63,3.21,2.96,2.24,1.6,2.4,1.53,2.53,1.54,2014-03-16
nmPLceEE,1394946000,7243,Suwon Bluewings,Sangmu,2,2,1.7,3.5,4.55,1.73,3.6,4.75,1.66,3.95,5.72,1.9,1.84,2.0,1.8,1.97,1.91,2014-03-16
UBEQdFTK,1394946000,7243,Ulsan,Gyeongnam,3,0,1.64,3.59,5.0,1.67,3.6,5.5,1.68,3.83,5.8,2.03,1.77,2.08,1.73,2.12,1.78,2014-03-16
rFIUeZrR,1395464400,7243,Jeju,Seongnam,1,0,2.32,3.09,2.93,2.4,3.1,3.1,2.5,3.29,3.06,2.23,1.59,2.35,1.57,2.38,1.61,2014-03-22
vo40jD6l,1395471600,7243,Gyeongnam,Jeonnam,2,3,2.56,2.98,2.72,2.8,3.1,2.63,2.9,3.05,2.8,2.33,1.55,2.7,1.44,2.75,1.45,2014-03-22
0f5digir,1395464400,7243,Pohang,Suwon Bluewings,2,1,2.18,3.16,3.15,2.25,3.2,3.3,2.21,3.37,3.59,2.04,1.72,2.1,1.7,2.18,1.73,2014-03-22
bmK1liy1,1395550800,7243,Sangmu,Jeonbuk,0,0,4.68,3.6,1.67,4.5,3.75,1.75,4.88,3.8,1.78,1.76,1.99,1.85,1.95,1.94,1.94,2014-03-23
KdLckXLf,1395550800,7243,Seoul,Busan,0,1,1.78,3.4,4.23,1.83,3.4,4.5,1.91,3.5,4.53,2.04,1.72,2.1,1.7,2.16,1.75,2014-03-23
hAJ5mBj7,1395558000,7243,Ulsan,Incheon,3,0,1.71,3.46,4.62,1.73,3.5,5.0,1.72,3.76,5.49,2.0,1.75,2.08,1.73,2.05,1.83,2014-03-23
