ID,Match,Start Time,League,Live Bet,Result,Ah_01_Hcap,Ah_01,Ah_02_Hcap,Ah_02,Htah_01_Hcap,Htah_01,Htah_02_Hcap,Htah_02,Ft1X2_01,Ft1X2_02,Ft1X2_03,Htft_01,Htft_02,Htft_03,Htft_04,Htft_05,Htft_06,Htft_07,Htft_08,Htft_09,Pts_10,Pts_20,Pts_21,Pts_30,Pts_31,Pts_32,Pts_40,Pts_41,Pts_42,Pts_43,Pts_50,Pts_51,Pts_52,Pts_53,Pts_54,Pts_00,Pts_11,Pts_22,Pts_33,Pts_44,Pts_99,Pts_01,Pts_02,Pts_12,Pts_03,Pts_13,Pts_23,Pts_04,Pts_14,Pts_24,Pts_34,Pts_05,Pts_15,Pts_25,Pts_35,Pts_45,Tg_00,Tg_01,Tg_02,Tg_03,Tg_04,Tg_05,Tg_06,Tg_07,Tg_08,Tg_09,T1g_01,T1g_02,T1g_03,Oe_01,Oe_02,Ht1X2_01,Ht1X2_02,Ht1X2_03,Htpts_10,Htpts_20,Htpts_21,Htpts_00,Htpts_11,Htpts_22,Htpts_99,Htpts_01,Htpts_02,Htpts_12,Ou_hcap,Ou_01,Ou_02,Htou_Hcap,Htou_01,Htou_02,Hg_01_Hcap,Hg_01,Hg_02_Hcap,Hg_02,Bg_01,Bg_02,Htoe_01,Htoe_02,Httg_00,Httg_01,Httg_02,Httg_03,Htt1g_01,Htt1g_02,Htt1g_03,Htbg_01,Htbg_02
4156,Jeonbuk vs Suwon City,2025-10-18 13:00:00,K League,0,"HT:1-0, FT:2-0",,,,,,,,,1.65,3.8,3.9,2.45,15.0,25.0,4.7,7.0,10.0,17.0,15.0,7.0,8.5,9.0,6.5,13.0,10.0,15.0,30.0,21.0,35.0,70.0,60.0,60.0,80.0,150.0,250.0,19.0,7.5,11.0,40.0,100.0,25.0,15.0,25.0,11.0,60.0,30.0,25.0,150.0,90.0,90.0,100.0,250.0,250.0,250.0,250.0,250.0,19.0,6.0,3.8,3.5,4.4,7.0,13.0,25.0,40.0,60.0,,,,1.8,1.85,2.15,2.4,4.1,3.7,8.5,13.0,3.4,7.0,25.0,9.5,6.0,21.0,21.0,2.5,1.5,2.35,1.5,2.2,1.58,-1.5,2.8,1.5,1.35,,,1.95,1.7,3.4,2.65,3.6,4.8,,,,,
4163,Anyang vs Sangmu,2025-10-18 13:00:00,K League,0,"HT:2-0, FT:4-1",,,,,,,,,2.95,3.4,2.05,5.0,13.0,19.0,7.5,5.8,5.2,23.0,13.0,3.4,10.0,15.0,9.5,40.0,21.0,25.0,100.0,60.0,70.0,100.0,250.0,200.0,200.0,250.0,250.0,13.0,6.0,11.0,40.0,125.0,60.0,8.0,10.0,7.5,19.0,13.0,19.0,50.0,35.0,50.0,90.0,125.0,100.0,125.0,200.0,250.0,13.0,5.0,3.4,3.5,4.8,8.5,17.0,40.0,50.0,70.0,,,,1.82,1.82,3.4,2.2,2.65,5.0,15.0,19.0,2.95,7.0,30.0,11.0,4.1,11.0,17.0,2.5,1.65,2.07,1.5,2.45,1.47,1.5,1.18,-1.5,4.0,,,2.0,1.67,2.95,2.6,3.8,5.8,,,,,
4147,Seoul vs Pohang,2025-10-18 13:00:00,K League,0,"HT:0-1, FT:1-2",,,,,,,,,2.05,3.2,3.1,3.4,13.0,25.0,5.0,5.0,7.5,23.0,13.0,5.5,6.5,9.0,7.5,19.0,15.0,25.0,50.0,40.0,60.0,125.0,125.0,125.0,150.0,250.0,250.0,9.5,5.2,12.0,60.0,150.0,70.0,9.0,15.0,10.0,40.0,25.0,35.0,125.0,90.0,90.0,150.0,250.0,200.0,250.0,250.0,300.0,9.5,4.3,3.2,3.6,5.2,11.0,23.0,40.0,70.0,80.0,,,,1.85,1.8,2.7,2.05,3.8,3.9,11.0,19.0,2.75,7.5,35.0,13.0,5.2,15.0,21.0,2.5,1.9,1.77,0.5,1.38,2.75,-1.5,4.4,1.5,1.15,,,2.05,1.63,2.75,2.5,4.1,6.5,,,,,
4155,Daejeon vs Jeju,2025-10-18 13:00:00,K League,0,"HT:2-0, FT:3-1",,,,,,,,,1.8,3.5,3.6,2.8,13.0,25.0,4.7,6.0,9.0,21.0,13.0,6.5,7.0,8.5,7.0,15.0,11.0,19.0,35.0,30.0,40.0,90.0,90.0,80.0,100.0,200.0,250.0,13.0,6.5,11.0,50.0,125.0,40.0,11.0,21.0,11.0,60.0,30.0,30.0,150.0,90.0,90.0,125.0,250.0,250.0,250.0,250.0,250.0,13.0,5.0,3.4,3.5,4.8,8.5,17.0,40.0,50.0,70.0,,,,1.82,1.82,2.35,2.25,4.0,3.7,9.5,15.0,2.95,7.0,30.0,11.0,6.0,19.0,23.0,3.5,2.4,1.49,1.5,2.45,1.47,-1.5,3.35,1.5,1.25,,,2.0,1.67,2.95,2.6,3.8,5.8,,,,,
4166,Ulsan vs Gwangju FC,2025-10-18 13:00:00,K League,0,"HT:1-0, FT:2-0",,,,,,,,,1.92,3.2,3.4,3.1,13.0,25.0,5.0,5.0,8.0,25.0,13.0,6.0,6.0,7.5,7.5,15.0,13.0,25.0,50.0,40.0,70.0,150.0,125.0,125.0,200.0,250.0,250.0,9.0,5.5,13.0,70.0,150.0,80.0,8.5,17.0,11.0,50.0,35.0,40.0,150.0,100.0,125.0,200.0,250.0,250.0,250.0,250.0,300.0,9.0,3.8,3.05,3.7,6.0,12.0,30.0,40.0,70.0,80.0,,,,1.82,1.82,2.6,2.05,4.0,3.7,11.0,21.0,2.65,8.0,35.0,15.0,5.2,19.0,21.0,2.5,2.07,1.65,0.5,1.4,2.65,-1.5,4.0,1.5,1.18,,,2.05,1.63,2.65,2.4,4.4,7.5,,,,,
4164,Daegu vs Gangwon,2025-10-18 13:00:00,K League,0,"HT:0-2, FT:2-2",,,,,,,,,2.85,3.2,2.15,5.0,13.0,23.0,7.0,5.2,5.2,23.0,13.0,3.6,9.0,13.0,9.5,35.0,23.0,25.0,100.0,70.0,90.0,125.0,250.0,200.0,200.0,250.0,300.0,11.0,5.5,11.0,50.0,125.0,80.0,7.0,10.0,7.5,21.0,15.0,23.0,60.0,40.0,60.0,125.0,150.0,125.0,150.0,250.0,250.0,11.0,4.4,3.2,3.6,5.2,10.0,21.0,35.0,70.0,90.0,,,,1.82,1.82,3.5,2.1,2.8,4.8,15.0,21.0,2.85,7.0,30.0,13.0,4.1,12.0,19.0,2.5,1.8,1.87,1.5,2.6,1.42,1.5,1.12,-1.5,4.8,,,2.0,1.67,2.85,2.5,4.0,6.5,,,,,
4126,Ulsan vs Gangwon,2026-08-16 18:30:00,K League,0,"HT:1-2, FT:2-3",0.0,1.9,0.0,1.9,0.0,1.9,0.0,1.9,2.5,3.1,2.5,4.2,13.0,25.0,6.0,5.0,6.0,25.0,13.0,4.2,7.5,11.0,8.5,30.0,19.0,25.0,90.0,60.0,80.0,90.0,200.0,200.0,200.0,250.0,250.0,9.5,5.5,12.0,50.0,250.0,70.0,7.5,11.0,8.5,30.0,19.0,25.0,90.0,60.0,80.0,90.0,200.0,200.0,200.0,250.0,250.0,9.5,4.1,3.2,3.6,5.5,11.0,25.0,40.0,70.0,90.0,,,,1.85,1.8,3.1,2.05,3.1,4.4,13.0,17.0,2.8,7.5,40.0,15.0,4.4,13.0,17.0,2.5,1.93,1.75,0.5,1.38,2.75,-1.5,6.0,1.5,1.07,,,,,2.8,2.45,4.2,7.0,,,,,
4136,Bucheon vs Jeonbuk,2026-08-16 18:30:00,K League,0,"HT:2-0, FT:3-2",0.75,1.77,-0.75,2.03,0.25,1.85,-0.25,1.92,4.2,3.3,1.72,8.0,15.0,23.0,9.5,4.8,4.4,35.0,15.0,2.65,11.0,23.0,12.0,70.0,40.0,40.0,200.0,125.0,150.0,200.0,250.0,250.0,250.0,250.0,250.0,9.5,6.0,13.0,50.0,250.0,60.0,5.5,7.0,7.0,13.0,12.0,25.0,35.0,35.0,60.0,125.0,90.0,90.0,150.0,250.0,250.0,9.5,4.2,3.3,3.6,5.5,11.0,19.0,35.0,60.0,90.0,,,,1.85,1.8,4.5,2.1,2.35,6.0,25.0,23.0,2.75,8.0,40.0,15.0,3.5,9.5,17.0,2.5,1.93,1.75,0.5,1.38,2.75,1.5,1.28,-1.5,3.15,,,,,2.75,2.45,4.2,7.0,,,,,
4134,Incheon vs Sangmu,2026-08-16 18:30:00,K League,0,"HT:0-0, FT:1-1",-0.25,1.8,0.25,2.0,0.0,1.63,0.0,2.3,2.0,3.1,3.3,3.2,13.0,30.0,5.0,4.5,8.0,23.0,15.0,6.0,6.0,8.5,7.5,17.0,15.0,25.0,50.0,40.0,70.0,150.0,125.0,125.0,200.0,250.0,250.0,8.5,5.2,13.0,50.0,200.0,70.0,8.5,15.0,11.0,50.0,30.0,40.0,150.0,100.0,125.0,200.0,250.0,250.0,250.0,250.0,250.0,8.5,3.9,3.2,3.7,6.0,12.0,23.0,40.0,70.0,90.0,,,,1.85,1.8,2.7,2.0,3.9,3.9,11.0,17.0,2.65,8.0,40.0,15.0,5.2,19.0,21.0,2.5,1.97,1.72,0.5,1.4,2.65,-1.5,4.4,1.5,1.15,,,,,2.65,2.45,4.3,7.5,,,,,
4133,Gwangju FC vs Pohang,2026-08-15 18:30:00,K League,0,"HT:0-1, FT:1-2",0.25,2.03,-0.25,1.77,0.0,2.35,0.0,1.6,3.6,3.0,1.97,7.0,15.0,25.0,8.5,4.2,4.5,35.0,15.0,3.1,7.5,17.0,12.0,60.0,40.0,50.0,200.0,150.0,150.0,250.0,250.0,250.0,250.0,250.0,250.0,6.5,5.5,17.0,60.0,200.0,70.0,4.8,7.5,8.0,17.0,17.0,35.0,50.0,50.0,90.0,200.0,125.0,150.0,200.0,250.0,250.0,6.5,3.4,3.1,4.0,7.0,15.0,30.0,60.0,80.0,100.0,,,,1.85,1.8,4.3,1.92,2.7,5.5,23.0,25.0,2.4,9.0,40.0,19.0,3.6,11.0,19.0,2.5,2.3,1.53,0.5,1.49,2.4,1.5,1.15,-1.5,4.4,,,,,2.4,2.4,4.8,9.5,,,,,
