联赛,模型,任务,有效样本,验证准确率,最近比赛测试准确率,Top3命中率,Top5命中率,简单基线,参数组
英超,英超胜平负模型,胜平负,6692,0.549,0.541,1.0,1.0,0.447,1
英超,英超大小球模型,大小球,6692,0.546,0.575,1.0,1.0,0.576,1
英超,英超比分模型,比分,6692,0.125,0.108,0.311,0.45,0.106,3
西甲,西甲胜平负模型,胜平负,6243,0.531,0.532,1.0,1.0,0.46,4
西甲,西甲大小球模型,大小球,6243,0.571,0.576,1.0,1.0,0.471,1
西甲,西甲比分模型,比分,6243,0.144,0.156,0.395,0.555,0.139,1
德甲,德甲胜平负模型,胜平负,4618,0.522,0.531,1.0,1.0,0.44,3
德甲,德甲大小球模型,大小球,4618,0.614,0.61,1.0,1.0,0.611,1
德甲,德甲比分模型,比分,4618,0.116,0.122,0.283,0.428,0.122,1
意甲,意甲胜平负模型,胜平负,6132,0.552,0.539,1.0,1.0,0.406,2
意甲,意甲大小球模型,大小球,6132,0.571,0.542,1.0,1.0,0.473,1
意甲,意甲比分模型,比分,6132,0.132,0.157,0.391,0.552,0.126,1
法甲,法甲胜平负模型,胜平负,6024,0.506,0.529,1.0,1.0,0.429,3
法甲,法甲大小球模型,大小球,6024,0.567,0.587,1.0,1.0,0.463,5
法甲,法甲比分模型,比分,6024,0.139,0.106,0.326,0.482,0.109,3
英超,英超半全场模型,半全场,6692,0.342,0.327,0.64,0.839,0.273,4
