samples,accuracy,log_loss,brier,mean_confidence,fold,train_samples,test_start,test_end,联赛,任务,候选模型
334,0.1347305389221557,3.1032760214218533,0.9442246830324535,0.12358553635017994,1,5690,2023-05-01,2024-05-04,英超,score,泊松基准
334,0.10179640718562874,2.998468158874669,0.9383883489523814,0.12147799365895826,2,6024,2024-05-04,2025-05-18,英超,score,泊松基准
334,0.12275449101796407,2.8651230198610693,0.9284224824726921,0.12263712285780068,3,6358,2025-05-18,2026-05-24,英超,score,泊松基准
334,0.1347305389221557,3.103275849131847,0.9442355900120745,0.12237871002606948,1,5690,2023-05-01,2024-05-04,英超,score,自动Dixon-Coles
334,0.10179640718562874,2.9980546324152,0.938298597993727,0.1202266336588129,2,6024,2024-05-04,2025-05-18,英超,score,自动Dixon-Coles
334,0.11976047904191617,2.865977866801404,0.9285602390805684,0.12078872525410829,3,6358,2025-05-18,2026-05-24,英超,score,自动Dixon-Coles
334,0.1347305389221557,3.1002276010704772,0.943784138731575,0.1210990950280357,1,5690,2023-05-01,2024-05-04,英超,score,自动Dixon-Coles+均值收缩10%
334,0.09880239520958084,3.0017762259854655,0.9380942194189495,0.119229437342211,2,6024,2024-05-04,2025-05-18,英超,score,自动Dixon-Coles+均值收缩10%
334,0.12275449101796407,2.8661600804767486,0.9286583348037268,0.12038475261672577,3,6358,2025-05-18,2026-05-24,英超,score,自动Dixon-Coles+均值收缩10%
334,0.11077844311377245,3.135820750253507,0.9476873245351715,0.1185277929966616,1,5690,2023-05-01,2024-05-04,英超,score,非线性泊松+自动Dixon-Coles
334,0.12574850299401197,2.9788548174457277,0.9372418548306767,0.11933504547349695,2,6024,2024-05-04,2025-05-18,英超,score,非线性泊松+自动Dixon-Coles
334,0.11676646706586827,2.8955939694480457,0.9295795139973282,0.12219094368023622,3,6358,2025-05-18,2026-05-24,英超,score,非线性泊松+自动Dixon-Coles
312,0.15384615384615385,2.79895925101769,0.9196645051030102,0.12770325447201533,1,5307,2023-05-04,2024-05-11,西甲,score,泊松基准
312,0.15384615384615385,2.8229417729274853,0.9197144406838785,0.12944285698364585,2,5619,2024-05-11,2025-05-18,西甲,score,泊松基准
312,0.16987179487179488,2.7764536648379474,0.9183604423016706,0.12719050430821616,3,5931,2025-05-18,2026-05-24,西甲,score,泊松基准
312,0.15384615384615385,2.798972096109353,0.9196565220679559,0.12567674484389962,1,5307,2023-05-04,2024-05-11,西甲,score,自动Dixon-Coles
312,0.14743589743589744,2.820568410934629,0.9193144922206881,0.12794738411313483,2,5619,2024-05-11,2025-05-18,西甲,score,自动Dixon-Coles
312,0.16666666666666666,2.775816991911081,0.9183059323235607,0.1234434855968767,3,5931,2025-05-18,2026-05-24,西甲,score,自动Dixon-Coles
312,0.16025641025641027,2.8017844630151343,0.919868049579803,0.12509937088716833,1,5307,2023-05-04,2024-05-11,西甲,score,自动Dixon-Coles+均值收缩10%
312,0.16666666666666666,2.824213772168996,0.9194956964142497,0.12675052725659033,2,5619,2024-05-11,2025-05-18,西甲,score,自动Dixon-Coles+均值收缩10%
312,0.16346153846153846,2.780973561686141,0.9188767106085498,0.12302722988673445,3,5931,2025-05-18,2026-05-24,西甲,score,自动Dixon-Coles+均值收缩10%
312,0.16666666666666666,2.792464907340444,0.9167607458915623,0.13196409250525135,1,5307,2023-05-04,2024-05-11,西甲,score,非线性泊松+自动Dixon-Coles
312,0.16346153846153846,2.8330006783121147,0.9197954714819341,0.13112778553031734,2,5619,2024-05-11,2025-05-18,西甲,score,非线性泊松+自动Dixon-Coles
312,0.15705128205128205,2.7937423096155274,0.9205671768566253,0.12676012331262895,3,5931,2025-05-18,2026-05-24,西甲,score,非线性泊松+自动Dixon-Coles
230,0.20869565217391303,2.9714135017254737,0.9294153566767104,0.11389784783200282,1,3928,2023-05-27,2024-05-12,德甲,score,泊松基准
230,0.09565217391304348,3.117388062915148,0.9476143792270274,0.11570289458411231,2,4158,2024-05-18,2025-05-17,德甲,score,泊松基准
230,0.11739130434782609,3.0102092768368225,0.9373594278700955,0.11491383885302726,3,4388,2025-10-31,2026-05-16,德甲,score,泊松基准
230,0.20434782608695654,2.9691203645591293,0.9286256767787899,0.11851296153517138,1,3928,2023-05-27,2024-05-12,德甲,score,自动Dixon-Coles
230,0.09130434782608696,3.1186694475133216,0.9479936508203917,0.12059468091341963,2,4158,2024-05-18,2025-05-17,德甲,score,自动Dixon-Coles
230,0.12173913043478261,3.01004514899541,0.9372077454856974,0.11974290010372116,3,4388,2025-10-31,2026-05-16,德甲,score,自动Dixon-Coles
230,0.1956521739130435,2.968858359847058,0.9288150072675787,0.1173546849223474,1,3928,2023-05-27,2024-05-12,德甲,score,自动Dixon-Coles+均值收缩10%
230,0.09130434782608696,3.115658701905375,0.9478486177781132,0.1197935124930967,2,4158,2024-05-18,2025-05-17,德甲,score,自动Dixon-Coles+均值收缩10%
230,0.12173913043478261,3.0137690559284978,0.9373685323452692,0.1190944899790211,3,4388,2025-10-31,2026-05-16,德甲,score,自动Dixon-Coles+均值收缩10%
