联赛,任务,候选模型,folds,samples,accuracy,accuracy_std,log_loss,brier,mean_confidence
德甲,score,泊松基准,3,690,0.14057971014492754,0.059983194453840226,3.0330036138258145,0.9381297212579445,0.11483819375638081
德甲,score,自动Dixon-Coles,3,690,0.1391304347826087,0.05849401759597266,3.032611653689287,0.9379423576949596,0.1196168475174374
德甲,score,自动Dixon-Coles+均值收缩10%,3,690,0.13623188405797101,0.05366234371470614,3.032762039226977,0.9380107191303204,0.11874756246482172
德甲,score,非线性泊松+自动Dixon-Coles,3,690,0.13043478260869565,0.0355884903124889,3.0265643169299175,0.9378535323357533,0.12022175748626006
意甲,score,泊松基准,3,918,0.144880174291939,0.033539878689195314,2.761420425664174,0.9185186612651481,0.1274158972338774
意甲,score,自动Dixon-Coles,3,918,0.14161220043572983,0.03673140588254327,2.7619760460356697,0.9186298159476164,0.12890862848181292
意甲,score,自动Dixon-Coles+均值收缩10%,3,918,0.1372549019607843,0.035348541916313626,2.7673535684907264,0.9191432991903922,0.12822548849986037
意甲,score,非线性泊松+自动Dixon-Coles,3,918,0.13507625272331156,0.022953494014929722,2.768355583803968,0.9193312903046248,0.13153058159997513
法甲,score,泊松基准,3,903,0.10852713178294575,0.008360835476490313,2.93678982169935,0.9333917933924147,0.12644866995689205
法甲,score,自动Dixon-Coles,3,903,0.10963455149501661,0.0033222591362126273,2.936979277920839,0.9334509631828131,0.12798604111837583
法甲,score,自动Dixon-Coles+均值收缩10%,3,903,0.11295681063122924,0.009966777408637873,2.938397748420956,0.933467962334917,0.1279156884401916
法甲,score,非线性泊松+自动Dixon-Coles,3,903,0.10409745293466223,0.008360835476490311,2.963698594086558,0.935494073056022,0.12544223902771176
英超,score,泊松基准,3,1002,0.11976047904191617,0.01666995318212582,2.9889557333858634,0.9370118381525091,0.12256688428897962
英超,score,自动Dixon-Coles,3,1002,0.11876247504990019,0.016489732177503304,2.989102782782817,0.9370314756954565,0.12113135631299689
英超,score,自动Dixon-Coles+均值收缩10%,3,1002,0.11876247504990019,0.018293715349125113,2.9893879691775638,0.9368455643180837,0.12023776166232415
英超,score,非线性泊松+自动Dixon-Coles,3,1002,0.11776447105788423,0.007534764905459829,3.0034231790490935,0.938169564454392,0.12001792738346491
西甲,score,泊松基准,3,936,0.1591880341880342,0.009252408160090151,2.7994515629277075,0.9192464626961865,0.12811220525462577
西甲,score,自动Dixon-Coles,3,936,0.15598290598290598,0.00979182840802529,2.7984524996516877,0.9190923155374016,0.12568920485130372
西甲,score,自动Dixon-Coles+均值收缩10%,3,936,0.16346153846153846,0.0032051282051281937,2.8023239322900904,0.9194134855342009,0.12495904267683104
西甲,score,非线性泊松+自动Dixon-Coles,3,936,0.1623931623931624,0.004895914204012651,2.8064026317560287,0.9190411314100405,0.12995066711606587
