联赛,任务,模型,算法,验证命中率,测试命中率,测试LogLoss,测试Brier,测试样本
瑞超,胜平负,瑞超胜平负模型,时间逻辑回归 C=0.03/半衰期=4.0,0.532258064516129,0.5080645161290323,1.0167244886974038,0.6087081740270098,372
瑞超,大小球,瑞超大小球模型,泊松 alpha=1.0/收缩=0.1,0.5994623655913979,0.5161290322580645,0.6857103729810996,0.4928563782918315,372
瑞超,比分,瑞超比分模型,泊松 alpha=0.01/收缩=0.0,0.12096774193548387,0.11827956989247312,2.9682452461840723,0.9337879263089502,372
葡超,胜平负,葡超胜平负模型,市场融合 权重=0.0,0.5352564102564102,0.5737179487179487,0.9093239254582415,0.5356757531919967,312
葡超,大小球,葡超大小球模型,泊松 alpha=0.1/收缩=0.0,0.6057692307692307,0.5512820512820513,0.6865601562394986,0.4936104221200029,312
葡超,比分,葡超比分模型,泊松 alpha=1.0/收缩=0.0,0.15384615384615385,0.16666666666666666,2.8176407225760896,0.9228880797590313,312
日职,胜平负,日职胜平负模型,时间逻辑回归 C=0.1/半衰期=8.0,0.481335952848723,0.4518664047151277,1.0391376137542905,0.6242898048480469,509
日职,大小球,日职大小球模型,泊松 alpha=0.1/收缩=0.0,0.5599214145383105,0.5461689587426326,0.6817074377251156,0.4886724740917753,509
日职,比分,日职比分模型,泊松 alpha=0.01/收缩=0.0,0.13163064833005894,0.13555992141453832,2.887825609894626,0.9254973142087922,509
韩职,胜平负,韩职胜平负模型,时间逻辑回归 C=0.03/半衰期=8.0,0.5454545454545454,0.36363636363636365,1.108423274810803,0.6787998562394996,11
韩职,大小球,韩职大小球模型,泊松 alpha=1.0/收缩=0.0,0.45454545454545453,0.5454545454545454,0.6801308809972568,0.48729938125540534,11
韩职,比分,韩职比分模型,泊松 alpha=0.01/收缩=0.1,0.09090909090909091,0.0,3.5332090686045787,0.9683678560736712,11
