联赛,任务,模型,处理,保留算法,首选命中率,Top3命中率,Top5命中率,简单基线,验证集胜出算法
英超,胜平负,英超胜平负模型,保留现有模型,现有随机森林,0.5411061285500748,1.0,1.0,0.4469357249626308,随机森林（现有参数）
英超,大小球,英超大小球模型,保留现有模型,现有随机森林,0.5754857997010463,1.0,1.0,0.5762331838565022,随机森林（现有参数）
西甲,胜平负,西甲胜平负模型,保留现有模型,现有随机森林,0.532051282051282,1.0,1.0,0.4599358974358974,随机森林（现有参数）
西甲,大小球,西甲大小球模型,保留现有模型,现有随机森林,0.5761217948717948,1.0,1.0,0.47115384615384615,随机森林（现有参数）
德甲,胜平负,德甲胜平负模型,已替换,标准化逻辑回归 C=0.03,0.5330444203683641,1.0,1.0,0.4398699891657638,标准化逻辑回归 C=0.03
德甲,大小球,德甲大小球模型,已替换,标准化逻辑回归 C=0.03,0.6121343445287107,1.0,1.0,0.6110509209100758,标准化逻辑回归 C=0.03
意甲,胜平负,意甲胜平负模型,保留现有模型,现有随机森林,0.5391517128874388,1.0,1.0,0.4061990212071778,随机森林（现有参数）
意甲,大小球,意甲大小球模型,保留现有模型,现有随机森林,0.5424143556280587,1.0,1.0,0.4730831973898858,随机森林（现有参数）
法甲,胜平负,法甲胜平负模型,保留现有模型,现有随机森林,0.5290697674418605,1.0,1.0,0.42940199335548174,标准化逻辑回归 C=0.1
法甲,大小球,法甲大小球模型,保留现有模型,现有随机森林,0.5872093023255814,1.0,1.0,0.4634551495016611,随机森林（现有参数）
