联赛,模型,算法,测试准确率,Top3,Top5,状态
德甲,德甲半全场模型,现有模型同参数重新训练,0.33670520231213874,0.6430635838150289,0.8236994219653179,通过
德甲,德甲半场胜平负模型,现有模型同参数重新训练,0.434971098265896,1.0,1.0,通过
德甲,德甲大小球模型,泊松总进球 alpha=0.01/半衰期4年,0.6069364161849711,1.0,1.0,通过
德甲,德甲比分模型,非线性泊松/Dixon-Coles rho=-0.10,0.14017341040462428,0.3106936416184971,0.44508670520231214,通过
德甲,德甲胜平负模型,赔率概率融合 C=0.03/模型权重=0.15,0.5202312138728323,1.0,1.0,通过
意甲,意甲半全场模型,现有模型同参数重新训练,0.31664853101196955,0.6561479869423286,0.8411316648531012,通过
意甲,意甲半场胜平负模型,现有模型同参数重新训练,0.4515778019586507,1.0,1.0,通过
意甲,意甲大小球模型,泊松总进球 alpha=0.01/半衰期8年,0.5408052230685527,1.0,1.0,通过
意甲,意甲比分模型,"泊松/Dixon-Coles alpha=0.1, rho=-0.10",0.14145810663764963,0.3764961915125136,0.55930359085963,通过
意甲,意甲胜平负模型,赔率概率融合 模型权重=0.35,0.545157780195865,1.0,1.0,通过
法甲,法甲半全场模型,现有模型同参数重新训练,0.33665559246954596,0.6478405315614618,0.8394241417497231,通过
法甲,法甲半场胜平负模型,现有模型同参数重新训练,0.43853820598006643,1.0,1.0,通过
法甲,法甲大小球模型,泊松总进球 alpha=0.01/半衰期8年,0.5492801771871539,1.0,1.0,通过
法甲,法甲比分模型,非线性泊松/Dixon-Coles rho=-0.10,0.10852713178294573,0.2956810631229236,0.4629014396456257,通过
法甲,法甲胜平负模型,现有模型同参数重新训练,0.5437430786267996,1.0,1.0,通过
英超,英超半全场模型,现有模型同参数重新训练,0.32602193419740777,0.6400797607178464,0.8354935194416749,通过
英超,英超半场胜平负模型,现有模型同参数重新训练,0.4307078763708873,1.0,1.0,通过
英超,英超大小球模型,时间衰减逻辑回归 C=0.03/半衰期8年,0.5523429710867398,1.0,1.0,通过
英超,英超比分模型,"泊松/Dixon-Coles alpha=0.01, rho=0.00",0.12362911266201396,0.29411764705882354,0.4456630109670987,通过
英超,英超胜平负模型,现有模型同参数重新训练,0.543369890329013,1.0,1.0,通过
西甲,西甲半全场模型,现有模型同参数重新训练,0.3034188034188034,0.6474358974358975,0.842948717948718,通过
西甲,西甲半场胜平负模型,现有模型同参数重新训练,0.4594017094017094,1.0,1.0,通过
西甲,西甲大小球模型,非线性泊松 叶节点=7/叶样本=40,0.5694444444444444,1.0,1.0,通过
西甲,西甲比分模型,非线性泊松/Dixon-Coles rho=-0.05,0.17735042735042736,0.39316239316239315,0.5523504273504274,通过
西甲,西甲胜平负模型,现有模型同参数重新训练,0.5341880341880342,1.0,1.0,通过
