联赛,模型,历史窗口年,半衰期年,最终测试准确率,Top3,状态
英超,英超半全场模型,,,0.32602193419740777,0.6400797607178464,通过
英超,英超半场胜平负模型,,6.0,0.43668993020937186,1.0,通过
英超,英超大小球模型,,8.0,0.5523429710867398,1.0,通过
英超,英超比分模型,全部（原最优）,8.0,0.12362911266201396,0.29411764705882354,通过
英超,英超胜平负模型,2,2.0,0.543369890329013,1.0,通过
西甲,西甲半全场模型,,8.0,0.3034188034188034,0.6474358974358975,通过
西甲,西甲半场胜平负模型,,,0.4594017094017094,1.0,通过
西甲,西甲大小球模型,全部（原最优）,8.0,0.5694444444444444,1.0,通过
西甲,西甲比分模型,,8.0,0.17735042735042736,0.39316239316239315,通过
西甲,西甲胜平负模型,,,0.5341880341880342,1.0,通过
德甲,德甲半全场模型,全部（原最优）,8.0,0.33670520231213874,0.6430635838150289,通过
德甲,德甲半场胜平负模型,,2.0,0.43641618497109824,1.0,通过
德甲,德甲大小球模型,全部（原最优）,4.0,0.6069364161849711,1.0,通过
德甲,德甲比分模型,全部（原最优）,8.0,0.14017341040462428,0.3106936416184971,通过
德甲,德甲胜平负模型,,8.0,0.5202312138728323,1.0,通过
意甲,意甲半全场模型,全部（原最优）,8.0,0.31664853101196955,0.6561479869423286,通过
意甲,意甲半场胜平负模型,,8.0,0.4515778019586507,1.0,通过
意甲,意甲大小球模型,8,8.0,0.5549510337323177,1.0,通过
意甲,意甲比分模型,全部（原最优）,8.0,0.14145810663764963,0.3764961915125136,通过
意甲,意甲胜平负模型,,8.0,0.545157780195865,1.0,通过
法甲,法甲半全场模型,,8.0,0.33665559246954596,0.6478405315614618,通过
法甲,法甲半场胜平负模型,,,0.43853820598006643,1.0,通过
法甲,法甲大小球模型,全部（原最优）,8.0,0.5492801771871539,1.0,通过
法甲,法甲比分模型,全部（原最优）,8.0,0.10852713178294573,0.2956810631229236,通过
法甲,法甲胜平负模型,2,2.0,0.5437430786267996,1.0,通过
